Dataset 1,Column 1,Similar Column 1,Similar Column 2,Similar Column 3
cleaned_table_0.csv,Bottom Quartile Utilities and telephone/telecommunication,"Table cleaned_table_2.csv, Column 35, Overlap: 202","Table cleaned_table_1.csv, Column 27, Overlap: 202","Table cleaned_table_1.csv, Column 20, Overlap: 202"
cleaned_table_0.csv,Lower Middle Repairs and maintenance,"Table cleaned_table_2.csv, Column 35, Overlap: 386","Table cleaned_table_1.csv, Column 35, Overlap: 386","Table cleaned_table_1.csv, Column 33, Overlap: 385"
cleaned_table_0.csv,Top Quartile Other expenses,"Table cleaned_table_1.csv, Column 22, Overlap: 2737","Table cleaned_table_2.csv, Column 22, Overlap: 2737","Table cleaned_table_1.csv, Column 15, Overlap: 2474"
cleaned_table_0.csv,Upper Middle Advertising and promotion,"Table cleaned_table_2.csv, Column 35, Overlap: 374","Table cleaned_table_1.csv, Column 33, Overlap: 374","Table cleaned_table_1.csv, Column 35, Overlap: 374"
cleaned_table_0.csv,% of Businesses Reporting.3,"Table cleaned_table_1.csv, Column 29, Overlap: 904","Table cleaned_table_2.csv, Column 29, Overlap: 904","Table cleaned_table_1.csv, Column 11, Overlap: 898"
cleaned_table_0.csv,Upper Middle Repairs and maintenance,"Table cleaned_table_2.csv, Column 35, Overlap: 596","Table cleaned_table_1.csv, Column 35, Overlap: 596","Table cleaned_table_1.csv, Column 33, Overlap: 595"
cleaned_table_0.csv,Lower Middle Operating Expenses (indirect),"Table cleaned_table_1.csv, Column 52, Overlap: 2210","Table cleaned_table_2.csv, Column 52, Overlap: 2210","Table cleaned_table_2.csv, Column 10, Overlap: 2099"
cleaned_table_0.csv,Lower Middle Other expenses,"Table cleaned_table_2.csv, Column 10, Overlap: 853","Table cleaned_table_1.csv, Column 10, Overlap: 853","Table cleaned_table_1.csv, Column 52, Overlap: 845"
cleaned_table_0.csv,Top Quartile Repairs and maintenance,"Table cleaned_table_1.csv, Column 22, Overlap: 1091","Table cleaned_table_1.csv, Column 52, Overlap: 1091","Table cleaned_table_2.csv, Column 52, Overlap: 1091"
cleaned_table_0.csv,Amortization and depletion,"Table cleaned_table_1.csv, Column 52, Overlap: 907","Table cleaned_table_2.csv, Column 52, Overlap: 907","Table cleaned_table_1.csv, Column 22, Overlap: 896"
cleaned_table_0.csv,Quality Indicator.2,"Table cleaned_table_2.csv, Column 32, Overlap: 4","Table cleaned_table_2.csv, Column 38, Overlap: 4","Table cleaned_table_2.csv, Column 41, Overlap: 4"
cleaned_table_0.csv,Unnamed: 29,"Table cleaned_table_2.csv, Column 10, Overlap: 2145","Table cleaned_table_1.csv, Column 10, Overlap: 2145","Table cleaned_table_1.csv, Column 15, Overlap: 2140"
cleaned_table_0.csv,Cost of Sales (direct expenses),"Table cleaned_table_1.csv, Column 15, Overlap: 2807","Table cleaned_table_2.csv, Column 15, Overlap: 2807","Table cleaned_table_1.csv, Column 4, Overlap: 2516"
cleaned_table_0.csv,Upper Middle Rent,"Table cleaned_table_2.csv, Column 35, Overlap: 735","Table cleaned_table_1.csv, Column 35, Overlap: 735","Table cleaned_table_1.csv, Column 11, Overlap: 731"
cleaned_table_0.csv,Top Quartile Advertising and promotion,"Table cleaned_table_1.csv, Column 52, Overlap: 810","Table cleaned_table_2.csv, Column 52, Overlap: 810","Table cleaned_table_1.csv, Column 33, Overlap: 797"
cleaned_table_0.csv,Lower Middle Insurance,"Table cleaned_table_2.csv, Column 35, Overlap: 184","Table cleaned_table_1.csv, Column 27, Overlap: 184","Table cleaned_table_1.csv, Column 20, Overlap: 184"
cleaned_table_0.csv,Utilities and telephone/telecommunication ,"Table cleaned_table_1.csv, Column 11, Overlap: 660","Table cleaned_table_2.csv, Column 11, Overlap: 660","Table cleaned_table_1.csv, Column 33, Overlap: 660"
cleaned_table_0.csv,Bottom Quartile Other expenses,"Table cleaned_table_1.csv, Column 4, Overlap: 575","Table cleaned_table_1.csv, Column 31, Overlap: 575","Table cleaned_table_2.csv, Column 4, Overlap: 575"
cleaned_table_0.csv,Bottom Quartile Wages and Benefits,"Table cleaned_table_2.csv, Column 35, Overlap: 222","Table cleaned_table_1.csv, Column 27, Overlap: 222","Table cleaned_table_2.csv, Column 21, Overlap: 222"
cleaned_table_0.csv,% of Businesses Reporting.4,"Table cleaned_table_1.csv, Column 52, Overlap: 891","Table cleaned_table_2.csv, Column 52, Overlap: 891","Table cleaned_table_1.csv, Column 11, Overlap: 882"
cleaned_table_0.csv,Top Quartile Closing Inventory,"Table cleaned_table_1.csv, Column 43, Overlap: 2340","Table cleaned_table_2.csv, Column 43, Overlap: 2340","Table cleaned_table_1.csv, Column 15, Overlap: 2175"
cleaned_table_0.csv,Wages and Benefits,"Table cleaned_table_2.csv, Column 10, Overlap: 1435","Table cleaned_table_1.csv, Column 10, Overlap: 1435","Table cleaned_table_2.csv, Column 7, Overlap: 1426"
cleaned_table_0.csv,Quality Indicator.3,"Table cleaned_table_2.csv, Column 32, Overlap: 4","Table cleaned_table_2.csv, Column 38, Overlap: 4","Table cleaned_table_2.csv, Column 41, Overlap: 4"
cleaned_table_0.csv,Lower Middle Labour and Commissions,"Table cleaned_table_1.csv, Column 52, Overlap: 1188","Table cleaned_table_2.csv, Column 52, Overlap: 1188","Table cleaned_table_2.csv, Column 10, Overlap: 1176"
cleaned_table_0.csv,Top Quartile Amortization and depletion,"Table cleaned_table_2.csv, Column 10, Overlap: 1461","Table cleaned_table_1.csv, Column 10, Overlap: 1461","Table cleaned_table_2.csv, Column 7, Overlap: 1457"
cleaned_table_0.csv,% of Businesses Reporting.5,"Table cleaned_table_1.csv, Column 52, Overlap: 662","Table cleaned_table_2.csv, Column 52, Overlap: 662","Table cleaned_table_1.csv, Column 22, Overlap: 656"
cleaned_table_0.csv,Lower Middle Cost of Sales,"Table cleaned_table_2.csv, Column 10, Overlap: 1655","Table cleaned_table_1.csv, Column 10, Overlap: 1655","Table cleaned_table_1.csv, Column 33, Overlap: 1628"
cleaned_table_0.csv,Other expenses,"Table cleaned_table_2.csv, Column 51, Overlap: 1662","Table cleaned_table_1.csv, Column 51, Overlap: 1662","Table cleaned_table_2.csv, Column 10, Overlap: 1598"
cleaned_table_0.csv,"Top Quartile Delivery, shipping and warehouse expense","Table cleaned_table_1.csv, Column 11, Overlap: 503","Table cleaned_table_2.csv, Column 11, Overlap: 503","Table cleaned_table_1.csv, Column 33, Overlap: 502"
cleaned_table_0.csv,Upper Middle Utilities and telephone/telecommunication,"Table cleaned_table_1.csv, Column 33, Overlap: 629","Table cleaned_table_2.csv, Column 33, Overlap: 629","Table cleaned_table_2.csv, Column 35, Overlap: 628"
cleaned_table_0.csv,Upper Middle cost of Sales,"Table cleaned_table_1.csv, Column 15, Overlap: 2391","Table cleaned_table_2.csv, Column 15, Overlap: 2391","Table cleaned_table_1.csv, Column 4, Overlap: 2137"
cleaned_table_0.csv,Top Quartile Insurance,"Table cleaned_table_2.csv, Column 35, Overlap: 531","Table cleaned_table_1.csv, Column 35, Overlap: 531","Table cleaned_table_1.csv, Column 11, Overlap: 529"
cleaned_table_0.csv,Lower Middle Wages and Benefits,"Table cleaned_table_2.csv, Column 35, Overlap: 573","Table cleaned_table_1.csv, Column 35, Overlap: 573","Table cleaned_table_1.csv, Column 33, Overlap: 568"
cleaned_table_0.csv,Rent,"Table cleaned_table_2.csv, Column 35, Overlap: 746","Table cleaned_table_1.csv, Column 35, Overlap: 746","Table cleaned_table_1.csv, Column 11, Overlap: 740"
cleaned_table_1.csv,Bottom Quartile Advertising and promotion,"Table cleaned_table_2.csv, Column 35, Overlap: 128","Table cleaned_table_2.csv, Column 14, Overlap: 128","Table cleaned_table_2.csv, Column 16, Overlap: 128"
cleaned_table_1.csv,Quality Indicator,"Table cleaned_table_2.csv, Column 32, Overlap: 4","Table cleaned_table_2.csv, Column 38, Overlap: 4","Table cleaned_table_2.csv, Column 41, Overlap: 4"
cleaned_table_1.csv,Lower Middle Amortization and depletion,"Table cleaned_table_2.csv, Column 2, Overlap: 531","Table cleaned_table_0.csv, Column 29, Overlap: 522","Table cleaned_table_2.csv, Column 11, Overlap: 519"
cleaned_table_1.csv,Bottom Quartile Operating Expenses (indirect),"Table cleaned_table_2.csv, Column 3, Overlap: 1414","Table cleaned_table_0.csv, Column 29, Overlap: 1271","Table cleaned_table_2.csv, Column 10, Overlap: 1269"
cleaned_table_1.csv,"Top Quartile Purchases, materials and sub-contracts","Table cleaned_table_2.csv, Column 4, Overlap: 6169","Table cleaned_table_0.csv, Column 14, Overlap: 4086","Table cleaned_table_2.csv, Column 15, Overlap: 2671"
cleaned_table_1.csv,Quality Indicator.1,"Table cleaned_table_2.csv, Column 32, Overlap: 4","Table cleaned_table_2.csv, Column 38, Overlap: 4","Table cleaned_table_2.csv, Column 41, Overlap: 4"
cleaned_table_1.csv,Lower Middle Utilities and telephone/telecommunication,"Table cleaned_table_2.csv, Column 6, Overlap: 413","Table cleaned_table_2.csv, Column 35, Overlap: 412","Table cleaned_table_0.csv, Column 44, Overlap: 412"
cleaned_table_1.csv,Top Quartile Net Profit/Loss,"Table cleaned_table_2.csv, Column 7, Overlap: 3596","Table cleaned_table_0.csv, Column 6, Overlap: 2928","Table cleaned_table_2.csv, Column 15, Overlap: 2444"
cleaned_table_1.csv,Upper Middle Amortization and depletion,"Table cleaned_table_2.csv, Column 8, Overlap: 857","Table cleaned_table_0.csv, Column 29, Overlap: 841","Table cleaned_table_0.csv, Column 3, Overlap: 819"
cleaned_table_1.csv,% of Businesses Reporting,"Table cleaned_table_2.csv, Column 9, Overlap: 713","Table cleaned_table_2.csv, Column 52, Overlap: 710","Table cleaned_table_0.csv, Column 29, Overlap: 705"
cleaned_table_1.csv,Lower Middle Total expenses,"Table cleaned_table_2.csv, Column 10, Overlap: 3512","Table cleaned_table_0.csv, Column 4, Overlap: 2874","Table cleaned_table_2.csv, Column 15, Overlap: 2684"
cleaned_table_1.csv,Upper Middle Net Profit/Loss,"Table cleaned_table_2.csv, Column 11, Overlap: 2118","Table cleaned_table_0.csv, Column 6, Overlap: 1511","Table cleaned_table_2.csv, Column 7, Overlap: 1510"
cleaned_table_1.csv,Advertising and promotion,"Table cleaned_table_2.csv, Column 12, Overlap: 442","Table cleaned_table_2.csv, Column 33, Overlap: 438","Table cleaned_table_2.csv, Column 14, Overlap: 437"
cleaned_table_1.csv,Quality Indicator.2,"Table cleaned_table_2.csv, Column 32, Overlap: 4","Table cleaned_table_2.csv, Column 38, Overlap: 4","Table cleaned_table_2.csv, Column 41, Overlap: 4"
cleaned_table_1.csv,Wages and Benefits,"Table cleaned_table_2.csv, Column 14, Overlap: 1598","Table cleaned_table_0.csv, Column 29, Overlap: 1449","Table cleaned_table_2.csv, Column 10, Overlap: 1439"
cleaned_table_1.csv,Operating expenses (indirect),"Table cleaned_table_2.csv, Column 15, Overlap: 4739","Table cleaned_table_0.csv, Column 10, Overlap: 3006","Table cleaned_table_0.csv, Column 30, Overlap: 2807"
cleaned_table_1.csv,Upper Middle Opening Inventory,"Table cleaned_table_2.csv, Column 16, Overlap: 1721","Table cleaned_table_2.csv, Column 10, Overlap: 1484","Table cleaned_table_0.csv, Column 4, Overlap: 1475"
cleaned_table_1.csv,Opening Inventory,"Table cleaned_table_2.csv, Column 17, Overlap: 2013","Table cleaned_table_2.csv, Column 10, Overlap: 1714","Table cleaned_table_0.csv, Column 4, Overlap: 1711"
cleaned_table_1.csv,Incorporation Status,"Table cleaned_table_8.csv, Column 39, Overlap: 3","Table cleaned_table_14.csv, Column 8, Overlap: 3","Table cleaned_table_18.csv, Column 5, Overlap: 3"
cleaned_table_1.csv,Top Quartile Cost of Sales,"Table cleaned_table_2.csv, Column 19, Overlap: 6482","Table cleaned_table_2.csv, Column 4, Overlap: 2666","Table cleaned_table_2.csv, Column 15, Overlap: 2637"
cleaned_table_1.csv,Rent,"Table cleaned_table_2.csv, Column 20, Overlap: 777","Table cleaned_table_0.csv, Column 29, Overlap: 759","Table cleaned_table_0.csv, Column 3, Overlap: 750"
cleaned_table_1.csv,Upper Middle Wages and Benefits,"Table cleaned_table_2.csv, Column 21, Overlap: 1248","Table cleaned_table_0.csv, Column 29, Overlap: 1148","Table cleaned_table_2.csv, Column 10, Overlap: 1122"
cleaned_table_1.csv,Top Quartile Other expenses,"Table cleaned_table_2.csv, Column 22, Overlap: 3299","Table cleaned_table_0.csv, Column 20, Overlap: 2737","Table cleaned_table_2.csv, Column 15, Overlap: 2454"
cleaned_table_1.csv,Top Quartile Operating Expenses (indirect),"Table cleaned_table_2.csv, Column 23, Overlap: 6751","Table cleaned_table_0.csv, Column 8, Overlap: 4628","Table cleaned_table_2.csv, Column 4, Overlap: 2648"
cleaned_table_1.csv,% of Businesses Reporting.1,"Table cleaned_table_2.csv, Column 24, Overlap: 390","Table cleaned_table_2.csv, Column 7, Overlap: 389","Table cleaned_table_2.csv, Column 52, Overlap: 387"
cleaned_table_1.csv,Bottom Quartile Net Profit/Loss,"Table cleaned_table_2.csv, Column 25, Overlap: 1108","Table cleaned_table_0.csv, Column 5, Overlap: 911","Table cleaned_table_2.csv, Column 27, Overlap: 772"
cleaned_table_1.csv,Lower Middle Opening Inventory,"Table cleaned_table_2.csv, Column 26, Overlap: 1042","Table cleaned_table_0.csv, Column 29, Overlap: 986","Table cleaned_table_2.csv, Column 52, Overlap: 962"
cleaned_table_1.csv,Lower Middle Net Profit/Loss,"Table cleaned_table_2.csv, Column 27, Overlap: 1512","Table cleaned_table_0.csv, Column 7, Overlap: 1246","Table cleaned_table_2.csv, Column 11, Overlap: 1121"
cleaned_table_1.csv,Lower Middle Rent,"Table cleaned_table_2.csv, Column 28, Overlap: 450","Table cleaned_table_2.csv, Column 35, Overlap: 448","Table cleaned_table_0.csv, Column 48, Overlap: 448"
cleaned_table_1.csv,% of Businesses Reporting.2,"Table cleaned_table_2.csv, Column 29, Overlap: 925","Table cleaned_table_0.csv, Column 29, Overlap: 915","Table cleaned_table_2.csv, Column 11, Overlap: 907"
cleaned_table_1.csv,% of Businesses Reporting.3,"Table cleaned_table_2.csv, Column 30, Overlap: 895","Table cleaned_table_2.csv, Column 52, Overlap: 887","Table cleaned_table_0.csv, Column 29, Overlap: 885"
cleaned_table_1.csv,Top Quartile Wages and Benefits,"Table cleaned_table_2.csv, Column 31, Overlap: 2802","Table cleaned_table_2.csv, Column 15, Overlap: 2161","Table cleaned_table_0.csv, Column 10, Overlap: 2067"
cleaned_table_1.csv,Quality Indicator.3,"Table cleaned_table_2.csv, Column 32, Overlap: 4","Table cleaned_table_2.csv, Column 38, Overlap: 4","Table cleaned_table_2.csv, Column 41, Overlap: 4"
cleaned_table_1.csv,Lower Middle Cost of Sales,"Table cleaned_table_2.csv, Column 33, Overlap: 2013","Table cleaned_table_2.csv, Column 10, Overlap: 1685","Table cleaned_table_0.csv, Column 4, Overlap: 1651"
cleaned_table_1.csv,% of Businesses Reporting.4,"Table cleaned_table_2.csv, Column 34, Overlap: 700","Table cleaned_table_2.csv, Column 56, Overlap: 697","Table cleaned_table_2.csv, Column 11, Overlap: 696"
cleaned_table_1.csv,Top Quartile Amortization and depletion,"Table cleaned_table_2.csv, Column 35, Overlap: 1691","Table cleaned_table_0.csv, Column 29, Overlap: 1499","Table cleaned_table_2.csv, Column 10, Overlap: 1487"
cleaned_table_1.csv,% of Businesses Reporting.5,"Table cleaned_table_2.csv, Column 36, Overlap: 682","Table cleaned_table_2.csv, Column 56, Overlap: 680","Table cleaned_table_0.csv, Column 42, Overlap: 679"
cleaned_table_1.csv,Bottom Quartile Wages and Benefits,"Table cleaned_table_2.csv, Column 35, Overlap: 218","Table cleaned_table_2.csv, Column 37, Overlap: 218","Table cleaned_table_0.csv, Column 27, Overlap: 218"
cleaned_table_1.csv,Quality Indicator.4,"Table cleaned_table_2.csv, Column 32, Overlap: 4","Table cleaned_table_2.csv, Column 38, Overlap: 4","Table cleaned_table_2.csv, Column 41, Overlap: 4"
cleaned_table_1.csv,"Lower Middle Delivery, shipping and warehouse expense","Table cleaned_table_0.csv, Column 48, Overlap: 125","Table cleaned_table_2.csv, Column 39, Overlap: 125","Table cleaned_table_0.csv, Column 30, Overlap: 125"
cleaned_table_1.csv,Province/Canada,"Table cleaned_table_13.csv, Column 0, Overlap: 17","Table cleaned_table_8.csv, Column 36, Overlap: 17","Table cleaned_table_4.csv, Column 10, Overlap: 17"
cleaned_table_1.csv,Quality Indicator.5,"Table cleaned_table_2.csv, Column 32, Overlap: 4","Table cleaned_table_2.csv, Column 38, Overlap: 4","Table cleaned_table_2.csv, Column 41, Overlap: 4"
cleaned_table_1.csv,Bottom Quartile Insurance,"Table cleaned_table_2.csv, Column 35, Overlap: 116","Table cleaned_table_0.csv, Column 7, Overlap: 116","Table cleaned_table_0.csv, Column 27, Overlap: 116"
cleaned_table_1.csv,Top Quartile Closing Inventory,"Table cleaned_table_2.csv, Column 43, Overlap: 3196","Table cleaned_table_0.csv, Column 38, Overlap: 2340","Table cleaned_table_2.csv, Column 15, Overlap: 2269"
cleaned_table_1.csv,"Top Quartile Delivery, shipping and warehouse expense","Table cleaned_table_2.csv, Column 44, Overlap: 522","Table cleaned_table_0.csv, Column 29, Overlap: 513","Table cleaned_table_2.csv, Column 35, Overlap: 512"
cleaned_table_1.csv,Quality Indicator.6,"Table cleaned_table_2.csv, Column 32, Overlap: 4","Table cleaned_table_2.csv, Column 38, Overlap: 4","Table cleaned_table_2.csv, Column 41, Overlap: 4"
cleaned_table_1.csv,Bottom Quartile Repairs and maintenance,"Table cleaned_table_2.csv, Column 35, Overlap: 208","Table cleaned_table_0.csv, Column 7, Overlap: 208","Table cleaned_table_0.csv, Column 27, Overlap: 208"
cleaned_table_1.csv,Upper Middle Rent,"Table cleaned_table_2.csv, Column 47, Overlap: 766","Table cleaned_table_0.csv, Column 29, Overlap: 754","Table cleaned_table_2.csv, Column 11, Overlap: 749"
cleaned_table_1.csv,Bottom Quartile Closing Inventory,"Table cleaned_table_2.csv, Column 48, Overlap: 639","Table cleaned_table_0.csv, Column 29, Overlap: 626","Table cleaned_table_0.csv, Column 3, Overlap: 614"
cleaned_table_1.csv,Lower Middle Wages and Benefits,"Table cleaned_table_2.csv, Column 49, Overlap: 568","Table cleaned_table_0.csv, Column 29, Overlap: 558","Table cleaned_table_2.csv, Column 33, Overlap: 551"
cleaned_table_1.csv,Quality Indicator.7,"Table cleaned_table_2.csv, Column 32, Overlap: 4","Table cleaned_table_2.csv, Column 38, Overlap: 4","Table cleaned_table_2.csv, Column 41, Overlap: 4"
cleaned_table_1.csv,Other expenses,"Table cleaned_table_2.csv, Column 51, Overlap: 1969","Table cleaned_table_0.csv, Column 45, Overlap: 1662","Table cleaned_table_2.csv, Column 10, Overlap: 1613"
cleaned_table_1.csv,Lower Middle Operating Expenses (indirect),"Table cleaned_table_2.csv, Column 52, Overlap: 2574","Table cleaned_table_0.csv, Column 24, Overlap: 2210","Table cleaned_table_2.csv, Column 10, Overlap: 2149"
cleaned_table_1.csv,Naics code,"Table cleaned_table_2.csv, Column 53, Overlap: 1896","Table cleaned_table_8.csv, Column 11, Overlap: 351","Table cleaned_table_4.csv, Column 10, Overlap: 343"
cleaned_table_1.csv,Quality Indicator.8,"Table cleaned_table_2.csv, Column 32, Overlap: 4","Table cleaned_table_2.csv, Column 38, Overlap: 4","Table cleaned_table_2.csv, Column 41, Overlap: 4"
cleaned_table_1.csv,% of Businesses Reporting.6,"Table cleaned_table_2.csv, Column 55, Overlap: 353","Table cleaned_table_2.csv, Column 7, Overlap: 352","Table cleaned_table_0.csv, Column 29, Overlap: 351"
cleaned_table_1.csv,% of Businesses Reporting.7,"Table cleaned_table_2.csv, Column 56, Overlap: 928","Table cleaned_table_0.csv, Column 29, Overlap: 918","Table cleaned_table_2.csv, Column 11, Overlap: 909"
cleaned_table_1.csv,% of Businesses Reporting.8,"Table cleaned_table_0.csv, Column 2, Overlap: 87","Table cleaned_table_2.csv, Column 7, Overlap: 87","Table cleaned_table_2.csv, Column 55, Overlap: 87"
cleaned_table_1.csv,Bottom Quartile Professional and business fees,"Table cleaned_table_2.csv, Column 58, Overlap: 289","Table cleaned_table_2.csv, Column 35, Overlap: 286","Table cleaned_table_0.csv, Column 3, Overlap: 285"
cleaned_table_1.csv,"Upper Middle Delivery, shipping and warehouse expense","Table cleaned_table_0.csv, Column 48, Overlap: 238","Table cleaned_table_2.csv, Column 59, Overlap: 238","Table cleaned_table_0.csv, Column 3, Overlap: 238"
cleaned_table_1.csv,Lower Middle Labour and Commissions,"Table cleaned_table_2.csv, Column 60, Overlap: 1288","Table cleaned_table_0.csv, Column 29, Overlap: 1226","Table cleaned_table_2.csv, Column 52, Overlap: 1196"
cleaned_table_1.csv,Upper Middle Utilities and telephone/telecommunication,"Table cleaned_table_2.csv, Column 61, Overlap: 667","Table cleaned_table_0.csv, Column 29, Overlap: 658","Table cleaned_table_2.csv, Column 11, Overlap: 651"
cleaned_table_1.csv,Quality Indicator.9,"Table cleaned_table_2.csv, Column 32, Overlap: 4","Table cleaned_table_2.csv, Column 38, Overlap: 4","Table cleaned_table_2.csv, Column 41, Overlap: 4"
cleaned_table_1.csv,Top Quartile Insurance,"Table cleaned_table_2.csv, Column 63, Overlap: 529","Table cleaned_table_2.csv, Column 33, Overlap: 525","Table cleaned_table_2.csv, Column 35, Overlap: 524"
cleaned_table_2.csv,Bottom Quartile Advertising and promotion,"Table cleaned_table_1.csv, Column 0, Overlap: 128","Table cleaned_table_1.csv, Column 4, Overlap: 128","Table cleaned_table_1.csv, Column 43, Overlap: 128"
cleaned_table_2.csv,Quality Indicator,"Table cleaned_table_0.csv, Column 28, Overlap: 4","Table cleaned_table_0.csv, Column 40, Overlap: 4","Table cleaned_table_13.csv, Column 19, Overlap: 4"
cleaned_table_2.csv,Lower Middle Amortization and depletion,"Table cleaned_table_1.csv, Column 2, Overlap: 531","Table cleaned_table_0.csv, Column 29, Overlap: 522","Table cleaned_table_1.csv, Column 11, Overlap: 519"
cleaned_table_2.csv,Bottom Quartile Operating Expenses (indirect),"Table cleaned_table_1.csv, Column 3, Overlap: 1414","Table cleaned_table_0.csv, Column 29, Overlap: 1271","Table cleaned_table_1.csv, Column 10, Overlap: 1269"
cleaned_table_2.csv,"Top Quartile Purchases, materials and sub-contracts","Table cleaned_table_1.csv, Column 4, Overlap: 6169","Table cleaned_table_0.csv, Column 14, Overlap: 4086","Table cleaned_table_1.csv, Column 15, Overlap: 2671"
cleaned_table_2.csv,Quality Indicator.1,"Table cleaned_table_0.csv, Column 28, Overlap: 4","Table cleaned_table_0.csv, Column 40, Overlap: 4","Table cleaned_table_13.csv, Column 19, Overlap: 4"
cleaned_table_2.csv,Lower Middle Utilities and telephone/telecommunication,"Table cleaned_table_1.csv, Column 6, Overlap: 413","Table cleaned_table_1.csv, Column 33, Overlap: 412","Table cleaned_table_1.csv, Column 35, Overlap: 412"
cleaned_table_2.csv,Top Quartile Net Profit/Loss,"Table cleaned_table_1.csv, Column 7, Overlap: 3596","Table cleaned_table_0.csv, Column 6, Overlap: 2928","Table cleaned_table_1.csv, Column 15, Overlap: 2444"
cleaned_table_2.csv,Upper Middle Amortization and depletion,"Table cleaned_table_1.csv, Column 8, Overlap: 857","Table cleaned_table_0.csv, Column 29, Overlap: 841","Table cleaned_table_0.csv, Column 3, Overlap: 819"
cleaned_table_2.csv,% of Businesses Reporting,"Table cleaned_table_1.csv, Column 9, Overlap: 713","Table cleaned_table_1.csv, Column 52, Overlap: 710","Table cleaned_table_0.csv, Column 29, Overlap: 705"
