Dataset 1,Dataset 2,Relation,Column 1,Column 2,Set Containment
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,Bottom Quartile Professional and business fees,Lower Middle Rent,0.8795620437956204
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,Bottom Quartile Professional and business fees,% of Businesses Reporting.2,0.8941605839416058
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,Bottom Quartile Professional and business fees,Top Quartile Wages and Benefits,0.9890510948905109
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,Bottom Quartile Professional and business fees,Lower Middle Cost of Sales,0.9854014598540146
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,Bottom Quartile Professional and business fees,% of Businesses Reporting.4,0.9379562043795621
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,Bottom Quartile Professional and business fees,Top Quartile Amortization and depletion,0.9854014598540146
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,Bottom Quartile Professional and business fees,% of Businesses Reporting.5,0.9306569343065694
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,Bottom Quartile Professional and business fees,Top Quartile Closing Inventory,0.9890510948905109
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,Bottom Quartile Professional and business fees,"Top Quartile Delivery, shipping and warehouse expense",0.864963503649635
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,Bottom Quartile Professional and business fees,Upper Middle Rent,0.9416058394160584
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,Bottom Quartile Professional and business fees,Bottom Quartile Closing Inventory,0.9087591240875912
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,Bottom Quartile Professional and business fees,Lower Middle Wages and Benefits,0.8978102189781022
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,Bottom Quartile Professional and business fees,Other expenses,0.8941605839416058
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,Bottom Quartile Professional and business fees,Lower Middle Operating Expenses (indirect),0.864963503649635
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,Bottom Quartile Professional and business fees,% of Businesses Reporting.7,0.948905109489051
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,Bottom Quartile Professional and business fees,Bottom Quartile Professional and business fees,0.8686131386861314
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,Bottom Quartile Professional and business fees,Lower Middle Labour and Commissions,0.9671532846715328
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,Bottom Quartile Professional and business fees,Upper Middle Utilities and telephone/telecommunication,0.9306569343065694
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,Bottom Quartile Professional and business fees,Top Quartile Insurance,0.9051094890510949
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,Quality Indicator,Quality Indicator,1.0
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,Quality Indicator,Quality Indicator.1,1.0
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,Quality Indicator,Quality Indicator.2,1.0
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,Quality Indicator,Quality Indicator.3,1.0
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,Quality Indicator,Quality Indicator.4,1.0
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,Quality Indicator,Quality Indicator.5,1.0
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,Quality Indicator,Quality Indicator.6,1.0
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,Quality Indicator,Quality Indicator.7,1.0
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,Quality Indicator,Quality Indicator.8,1.0
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,Quality Indicator,Quality Indicator.9,1.0
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,% of Businesses Reporting,Bottom Quartile Operating Expenses (indirect),0.910761154855643
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,% of Businesses Reporting,"Top Quartile Purchases, materials and sub-contracts",0.8608923884514436
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,% of Businesses Reporting,Top Quartile Net Profit/Loss,1.0
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,% of Businesses Reporting,% of Businesses Reporting,0.952755905511811
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,% of Businesses Reporting,Lower Middle Total expenses,0.968503937007874
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,% of Businesses Reporting,Upper Middle Net Profit/Loss,0.9501312335958005
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,% of Businesses Reporting,Wages and Benefits,0.868766404199475
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,% of Businesses Reporting,Operating expenses (indirect),0.84251968503937
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,% of Businesses Reporting,Upper Middle Opening Inventory,0.8083989501312336
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,% of Businesses Reporting,Opening Inventory,0.905511811023622
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,% of Businesses Reporting,Top Quartile Cost of Sales,0.8267716535433071
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,% of Businesses Reporting,Top Quartile Other expenses,0.989501312335958
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,% of Businesses Reporting,Top Quartile Operating Expenses (indirect),0.868766404199475
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,% of Businesses Reporting,% of Businesses Reporting.1,0.9212598425196851
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,% of Businesses Reporting,% of Businesses Reporting.2,0.847769028871391
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,% of Businesses Reporting,% of Businesses Reporting.3,0.9553805774278216
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,% of Businesses Reporting,Top Quartile Wages and Benefits,0.8871391076115486
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,% of Businesses Reporting,Lower Middle Cost of Sales,0.8923884514435696
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,% of Businesses Reporting,Top Quartile Amortization and depletion,0.8766404199475065
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,% of Businesses Reporting,Top Quartile Closing Inventory,0.8661417322834646
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,% of Businesses Reporting,Other expenses,0.9553805774278216
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,% of Businesses Reporting,Lower Middle Operating Expenses (indirect),0.9921259842519685
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,% of Businesses Reporting,% of Businesses Reporting.7,0.8136482939632546
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,% of Businesses Reporting,Lower Middle Labour and Commissions,0.8503937007874016
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,Lower Middle Total expenses,Lower Middle Total expenses,0.8359511343804538
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,Bottom Quartile Net Profit/Loss,Bottom Quartile Net Profit/Loss,0.8458681522748375
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,Top Quartile Net Profit/Loss,Top Quartile Net Profit/Loss,0.8210880538418396
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,Lower Middle Net Profit/Loss,Lower Middle Net Profit/Loss,0.8516746411483254
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,Upper Middle Other expenses,"Top Quartile Purchases, materials and sub-contracts",0.8018461538461539
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,Upper Middle Other expenses,Top Quartile Net Profit/Loss,0.832
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,Upper Middle Other expenses,Lower Middle Total expenses,0.8486153846153847
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,Upper Middle Other expenses,Operating expenses (indirect),0.808
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,Upper Middle Other expenses,Top Quartile Other expenses,0.8424615384615385
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,Upper Middle Other expenses,Lower Middle Operating Expenses (indirect),0.824
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,Bottom Quartile Interest and bank charges,Lower Middle Amortization and depletion,0.9411764705882353
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,Bottom Quartile Interest and bank charges,Bottom Quartile Operating Expenses (indirect),0.9166666666666666
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,Bottom Quartile Interest and bank charges,"Top Quartile Purchases, materials and sub-contracts",0.9950980392156863
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,Bottom Quartile Interest and bank charges,Lower Middle Utilities and telephone/telecommunication,0.9166666666666666
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,Bottom Quartile Interest and bank charges,Upper Middle Amortization and depletion,0.9607843137254902
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,Bottom Quartile Interest and bank charges,Upper Middle Net Profit/Loss,0.9803921568627451
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,Bottom Quartile Interest and bank charges,Advertising and promotion,0.9313725490196079
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,Bottom Quartile Interest and bank charges,Wages and Benefits,0.9852941176470589
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,Bottom Quartile Interest and bank charges,Upper Middle Opening Inventory,0.9901960784313726
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,Bottom Quartile Interest and bank charges,Opening Inventory,1.0
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,Bottom Quartile Interest and bank charges,Top Quartile Cost of Sales,0.9509803921568627
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,Bottom Quartile Interest and bank charges,Rent,0.9656862745098039
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,Bottom Quartile Interest and bank charges,Upper Middle Wages and Benefits,0.9852941176470589
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,Bottom Quartile Interest and bank charges,Bottom Quartile Net Profit/Loss,0.9558823529411765
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,Bottom Quartile Interest and bank charges,Lower Middle Opening Inventory,0.9754901960784313
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,Bottom Quartile Interest and bank charges,Lower Middle Net Profit/Loss,0.9705882352941176
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,Bottom Quartile Interest and bank charges,Lower Middle Rent,0.9313725490196079
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,Bottom Quartile Interest and bank charges,% of Businesses Reporting.2,0.8823529411764706
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,Bottom Quartile Interest and bank charges,Top Quartile Wages and Benefits,0.9950980392156863
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,Bottom Quartile Interest and bank charges,Lower Middle Cost of Sales,0.9803921568627451
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,Bottom Quartile Interest and bank charges,% of Businesses Reporting.4,0.9656862745098039
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,Bottom Quartile Interest and bank charges,Top Quartile Amortization and depletion,0.9852941176470589
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,Bottom Quartile Interest and bank charges,% of Businesses Reporting.5,0.9558823529411765
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,Bottom Quartile Interest and bank charges,Top Quartile Closing Inventory,0.9901960784313726
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,Bottom Quartile Interest and bank charges,"Top Quartile Delivery, shipping and warehouse expense",0.9362745098039216
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,Bottom Quartile Interest and bank charges,Upper Middle Rent,0.9656862745098039
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,Bottom Quartile Interest and bank charges,Bottom Quartile Closing Inventory,0.9558823529411765
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,Bottom Quartile Interest and bank charges,Lower Middle Wages and Benefits,0.9166666666666666
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,Bottom Quartile Interest and bank charges,Other expenses,0.8774509803921569
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,Bottom Quartile Interest and bank charges,Lower Middle Operating Expenses (indirect),0.8333333333333334
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,Bottom Quartile Interest and bank charges,% of Businesses Reporting.7,0.9607843137254902
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,Bottom Quartile Interest and bank charges,Bottom Quartile Professional and business fees,0.8088235294117647
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,Bottom Quartile Interest and bank charges,Lower Middle Labour and Commissions,0.9803921568627451
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,Bottom Quartile Interest and bank charges,Upper Middle Utilities and telephone/telecommunication,0.9607843137254902
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,Bottom Quartile Interest and bank charges,Top Quartile Insurance,0.946078431372549
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,% of Businesses Reporting.1,Bottom Quartile Operating Expenses (indirect),0.9726858877086495
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,% of Businesses Reporting.1,"Top Quartile Purchases, materials and sub-contracts",0.9453717754172989
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,% of Businesses Reporting.1,Top Quartile Net Profit/Loss,0.8922610015174507
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,% of Businesses Reporting.1,Upper Middle Amortization and depletion,0.8998482549317147
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,% of Businesses Reporting.1,Lower Middle Total expenses,0.9256449165402124
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,% of Businesses Reporting.1,Upper Middle Net Profit/Loss,0.992412746585736
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,% of Businesses Reporting.1,Wages and Benefits,0.9787556904400607
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,% of Businesses Reporting.1,Operating expenses (indirect),0.8694992412746586
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,% of Businesses Reporting.1,Upper Middle Opening Inventory,0.9453717754172989
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,% of Businesses Reporting.1,Opening Inventory,0.9681335356600911
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,% of Businesses Reporting.1,Top Quartile Cost of Sales,0.9241274658573596
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,% of Businesses Reporting.1,Rent,0.9150227617602428
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,% of Businesses Reporting.1,Upper Middle Wages and Benefits,0.936267071320182
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,% of Businesses Reporting.1,Top Quartile Other expenses,0.928679817905918
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,% of Businesses Reporting.1,Lower Middle Opening Inventory,0.921092564491654
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,% of Businesses Reporting.1,Lower Middle Net Profit/Loss,0.9590288315629742
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,% of Businesses Reporting.1,% of Businesses Reporting.2,0.9726858877086495
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,% of Businesses Reporting.1,% of Businesses Reporting.3,0.8649468892261002
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,% of Businesses Reporting.1,Top Quartile Wages and Benefits,0.9711684370257967
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,% of Businesses Reporting.1,Lower Middle Cost of Sales,0.9878603945371776
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,% of Businesses Reporting.1,% of Businesses Reporting.4,0.9301972685887708
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,% of Businesses Reporting.1,Top Quartile Amortization and depletion,0.9908952959028832
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,% of Businesses Reporting.1,% of Businesses Reporting.5,0.9575113808801214
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,% of Businesses Reporting.1,Top Quartile Closing Inventory,0.9772382397572079
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,% of Businesses Reporting.1,Upper Middle Rent,0.8998482549317147
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,% of Businesses Reporting.1,Other expenses,0.9650986342943855
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,% of Businesses Reporting.1,Lower Middle Operating Expenses (indirect),0.9499241274658573
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,% of Businesses Reporting.1,% of Businesses Reporting.7,0.9969650986342944
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,% of Businesses Reporting.1,Lower Middle Labour and Commissions,0.9908952959028832
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,% of Businesses Reporting.1,Upper Middle Utilities and telephone/telecommunication,0.8330804248861912
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,Bottom Quartile Closing Inventory,Bottom Quartile Operating Expenses (indirect),0.9014308426073132
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,Bottom Quartile Closing Inventory,"Top Quartile Purchases, materials and sub-contracts",0.9443561208267091
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,Bottom Quartile Closing Inventory,Top Quartile Net Profit/Loss,0.8744038155802861
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,Bottom Quartile Closing Inventory,Upper Middle Amortization and depletion,0.8330683624801272
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,Bottom Quartile Closing Inventory,Lower Middle Total expenses,0.9141494435612083
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,Bottom Quartile Closing Inventory,Upper Middle Net Profit/Loss,0.9411764705882353
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,Bottom Quartile Closing Inventory,Wages and Benefits,0.9300476947535771
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,Bottom Quartile Closing Inventory,Operating expenses (indirect),0.8362480127186009
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,Bottom Quartile Closing Inventory,Upper Middle Opening Inventory,0.9141494435612083
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,Bottom Quartile Closing Inventory,Opening Inventory,0.9364069952305246
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,Bottom Quartile Closing Inventory,Top Quartile Cost of Sales,0.8998410174880763
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,Bottom Quartile Closing Inventory,Rent,0.8426073131955485
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,Bottom Quartile Closing Inventory,Upper Middle Wages and Benefits,0.8966613672496025
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,Bottom Quartile Closing Inventory,Top Quartile Other expenses,0.904610492845787
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,Bottom Quartile Closing Inventory,Lower Middle Opening Inventory,0.8585055643879174
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,Bottom Quartile Closing Inventory,Lower Middle Net Profit/Loss,0.8791732909379968
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,Bottom Quartile Closing Inventory,% of Businesses Reporting.2,0.8696343402225755
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,Bottom Quartile Closing Inventory,Top Quartile Wages and Benefits,0.9411764705882353
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,Bottom Quartile Closing Inventory,Lower Middle Cost of Sales,0.9538950715421304
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,Bottom Quartile Closing Inventory,% of Businesses Reporting.4,0.821939586645469
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,Bottom Quartile Closing Inventory,Top Quartile Amortization and depletion,0.9475357710651828
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,Bottom Quartile Closing Inventory,% of Businesses Reporting.5,0.8044515103338633
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,Bottom Quartile Closing Inventory,Top Quartile Closing Inventory,0.9364069952305246
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,Bottom Quartile Closing Inventory,Upper Middle Rent,0.8203497615262321
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,Bottom Quartile Closing Inventory,Bottom Quartile Closing Inventory,0.8585055643879174
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,Bottom Quartile Closing Inventory,Other expenses,0.918918918918919
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,Bottom Quartile Closing Inventory,Lower Middle Operating Expenses (indirect),0.9284578696343402
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,Bottom Quartile Closing Inventory,% of Businesses Reporting.7,0.8982511923688394
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,Bottom Quartile Closing Inventory,Lower Middle Labour and Commissions,0.9395866454689984
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,Lower Middle Amortization and depletion,Lower Middle Amortization and depletion,0.888030888030888
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,Lower Middle Amortization and depletion,Bottom Quartile Operating Expenses (indirect),0.9536679536679536
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,Lower Middle Amortization and depletion,"Top Quartile Purchases, materials and sub-contracts",0.9498069498069498
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,Lower Middle Amortization and depletion,Top Quartile Net Profit/Loss,0.859073359073359
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,Lower Middle Amortization and depletion,Upper Middle Amortization and depletion,0.9054054054054054
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,Lower Middle Amortization and depletion,Lower Middle Total expenses,0.8976833976833977
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,Lower Middle Amortization and depletion,Upper Middle Net Profit/Loss,0.972972972972973
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,Lower Middle Amortization and depletion,Wages and Benefits,0.974903474903475
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,Lower Middle Amortization and depletion,Operating expenses (indirect),0.8281853281853282
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,Lower Middle Amortization and depletion,Upper Middle Opening Inventory,0.9382239382239382
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,Lower Middle Amortization and depletion,Opening Inventory,0.9671814671814671
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,Lower Middle Amortization and depletion,Top Quartile Cost of Sales,0.9227799227799228
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,Lower Middle Amortization and depletion,Rent,0.8976833976833977
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,Lower Middle Amortization and depletion,Upper Middle Wages and Benefits,0.9247104247104247
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,Lower Middle Amortization and depletion,Top Quartile Other expenses,0.8957528957528957
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,Lower Middle Amortization and depletion,Lower Middle Opening Inventory,0.9324324324324325
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,Lower Middle Amortization and depletion,Lower Middle Net Profit/Loss,0.9401544401544402
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,Lower Middle Amortization and depletion,% of Businesses Reporting.2,0.9324324324324325
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,Lower Middle Amortization and depletion,Top Quartile Wages and Benefits,0.9691119691119691
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,Lower Middle Amortization and depletion,Lower Middle Cost of Sales,0.974903474903475
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,Lower Middle Amortization and depletion,% of Businesses Reporting.4,0.8996138996138996
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,Lower Middle Amortization and depletion,Top Quartile Amortization and depletion,0.974903474903475
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,Lower Middle Amortization and depletion,% of Businesses Reporting.5,0.88996138996139
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,Lower Middle Amortization and depletion,Top Quartile Closing Inventory,0.9652509652509652
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,Lower Middle Amortization and depletion,Upper Middle Rent,0.8918918918918919
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,Lower Middle Amortization and depletion,Other expenses,0.9343629343629344
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,Lower Middle Amortization and depletion,Lower Middle Operating Expenses (indirect),0.9266409266409267
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,Lower Middle Amortization and depletion,% of Businesses Reporting.7,0.9671814671814671
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,Lower Middle Amortization and depletion,Lower Middle Labour and Commissions,0.972972972972973
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,Lower Middle Amortization and depletion,Upper Middle Utilities and telephone/telecommunication,0.8436293436293436
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,% of Businesses Reporting.2,Bottom Quartile Operating Expenses (indirect),0.8170731707317073
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,% of Businesses Reporting.2,"Top Quartile Purchases, materials and sub-contracts",0.8536585365853658
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,% of Businesses Reporting.2,Top Quartile Net Profit/Loss,1.0
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,% of Businesses Reporting.2,% of Businesses Reporting,0.8170731707317073
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,% of Businesses Reporting.2,Lower Middle Total expenses,0.9634146341463414
cleaned_table_0.csv,cleaned_table_1.csv,JOIN,% of Businesses Reporting.2,Upper Middle Net Profit/Loss,0.926829268292683
