qd13_9,qc1_5_2,qc1_3_7,qd13_4,qe10_1,qc1_3_5,qi1_6,qj1,qe10a,Region,qd12_8_other,qj3_1,qb6,SEG,qc4_5,qe5_5,qc1_1_2,qe5_4,QD1_2,qc1_1_1,qh1_2,qj4_4,qe11_10,qg5,qi2a_8,qe10_10,qd12_8,qc1_3_1,qd12_7,qi1_3,qe5_10,qg6
No,No,No,Yes,No,No,Yes,Working full time (30hrs+ per week),Yes,Wales,,3,Wales,"Intermediate managerial, administrative or professional",Essential,No,No,No,0.0,Yes,Yes,No No No No No No No No No,Slightly more,Fairly dissatisfied,No,No,,Yes,Much less,No,No,Neither satisfied or dissatisfied
No,No,No,Yes,No,No,Yes,[],Yes,Rest of Scotland,X,2,Rest of Scotland,Semi-skilled or unskilled manual worker,Fairly important,No,No,No,0.0,No,No,No,No change,Fairly satisfied,No,No,No change,No,Much more Much more Much more Much more Much more Much more Much more Much more Much more,Yes Yes Yes Yes Yes,No,Very satisfied
No,No,No,No,Yes,No,Yes,Not working (less than 8hrs per week) retired,,South West,x,2,South West,"Intermediate managerial, administrative or professional",Fairly important,,No,,2.0,[],No,No,No change,Very satisfied,No,No,No change,Yes,No change,No,,Very satisfied Very satisfied Very satisfied Very satisfied Very satisfied Very satisfied
No,No,No,No,Yes,No,Yes,Working full time (30hrs+ per week),Yes,Wales,,2,Wales,"Intermediate managerial, administrative or professional",Fairly important,,No,,1.0,Yes,No,No,,Very satisfied,No No No No No No,No,,Yes,,No,,Very satisfied
Yes,No,No,No,,No,No,Not working (less than 8hrs per week) retired,No No No No No No No No No,West Midlands,,1,,Skilled manual worker,Irrelevant,,No,,20.0,Yes,No,No,,Fairly satisfied,,,,Yes,,No,,Fairly satisfied
No,Yes,No,No,No No No No,No,Yes,Working full time (30hrs+ per week),Yes,London/Greater London,X,1,London/Greater London,Skilled manual worker,Essential,No,No,No,0.0,Yes,No,No,No change,Very satisfied,No,No,No change,Yes,No change,No,No,Very satisfied
No,Yes,No,Yes,Yes,No,Yes,Working full time (30hrs+ per week),,North East,,3,North East North East North East North East,Skilled manual worker,Essential,No,Yes,No,0.0,Yes,Yes,No,Slightly less,Fairly satisfied,No,No No No,,Yes,Slightly less,Yes,No,Fairly satisfied
No,No,No,Yes,No,No,Yes,Not working (less than 8hrs per week) retired,No,Wales,X,2,Wales,"Supervisor; clerical; junior managerial, administrative or professional",Essential,,No,,0.0,[],No,No,Much less,Fairly satisfied,No,No,Dont know,Yes,Much less Much less Much less Much less Much less,No,,Fairly satisfied
No,No,No,No,Yes,No No No No No No No No,Yes Yes Yes Yes Yes Yes Yes,Not working (less than 8hrs per week) unable to work due to disability/other,No,Wales,,1,Wales,[],Essential Essential Essential,,No,,0.0,No,No,No,,Very satisfied,No,No,,No,,Yes,,[]
Yes,Yes,No,No,Yes,No,No,Not working (less than 8hrs per week) unemployed/ looking for work,No,North West,,2,North West,Housewife / househusband,Essential,No,Yes,No,0.0,No,No,No,No change,Very satisfied,,No,,No,No change,Yes,No,Very satisfied
No,No,No,No,No No No,No,No,Working full time (30hrs+ per week),No No No No No,North East,X,2,North East,"Intermediate managerial, administrative or professional",Fairly important,,No,,0.0,No,No,No,No change,Fairly satisfied,,No,No change,Yes,No change,No No No No No No No No,,Fairly satisfied
No,No,No,No,No,No,Yes,Working part time (8-29hrs per week),Yes Yes Yes Yes Yes Yes Yes,Northern Ireland,x,2,Northern Ireland,"Intermediate managerial, administrative or professional",Essential,No,No,No,1.0,Yes,No,No,Slightly less,Neither satisfied or dissatisfied,No,No,No change,Yes,Slightly more,No,No,Fairly satisfied
No,No,No,No,No,No,Yes,Working full time (30hrs+ per week),No,East Anglia/East of England,X,2,,"Supervisor; clerical; junior managerial, administrative or professional Supervisor; clerical; junior managerial, administrative or professional Supervisor; clerical; junior managerial, administrative or professional Supervisor; clerical; junior managerial, administrative or professional Supervisor; clerical; junior managerial, administrative or professional",Essential,No,No,No,1.0,No,No,No,No change,Neither satisfied or dissatisfied,,No,Dont know,No,No change,No,No,Fairly satisfied
,,,,,,No No No No No,Not working (less than 8hrs per week) housewife/ househusband,No No,North East,none,2,North East,Housewife / househusband,,,,,0.0,,Yes,No,No change No change No change No change,Neither satisfied or dissatisfied,,,No change,,No change,No,,[]
No,Yes,No No No No No No No,Yes,No,No,No,Not working (less than 8hrs per week) unemployed/ looking for work,,West Midlands,X,1,West Midlands,Unemployed,Fairly important,,Yes,,0.0,Yes,Yes,Yes,No change,Very dissatisfied,No,No No No No No No No,Dont know,Yes,No change,No,,Very dissatisfied
No,No,No,No,No,No,No,Working full time (30hrs+ per week),No No No No No No No No No,Rest of Scotland,X,3,,"Intermediate managerial, administrative or professional",Essential,,No,,2.0,Yes,No,[],Much less,Fairly satisfied,No,No,Much less,Yes,Much less,No,,Fairly satisfied
,,,,Yes,,Yes,Not working (less than 8hrs per week) unable to work due to disability/other,No,Wales,x,1,Wales,Unemployed,,,,,0.0,,No,No No No No,No change,Fairly satisfied,No No No No,No,Dont know,,No change,Yes,,Fairly satisfied Fairly satisfied
Yes,No,No,No,,[],No,Not working (less than 8hrs per week) retired,No,Northern Ireland,,1,,Semi-skilled or unskilled manual worker,Irrelevant,,No,,0.0,Yes,No,No,,Very satisfied,No,,,Yes Yes Yes Yes Yes Yes Yes Yes,,No,,Very satisfied
No,Yes,No,No,,No,No,Not working (less than 8hrs per week) unemployed/ looking for work,Yes Yes Yes Yes Yes Yes Yes Yes,Rest of Scotland,x,2,Rest of Scotland Rest of Scotland Rest of Scotland Rest of Scotland Rest of Scotland Rest of Scotland Rest of Scotland Rest of Scotland,Housewife / househusband,Not very important,No,No,No,0.0,No,No,No,No change,Very satisfied,,,No change,No,No change,No,No,Very satisfied
,,,,No,,Yes,Not working (less than 8hrs per week) retired,No,Rest of Scotland,x,2,Rest of Scotland Rest of Scotland Rest of Scotland Rest of Scotland Rest of Scotland Rest of Scotland,Semi-skilled or unskilled manual worker,,No,,No,1.0,,No No No No No No No,Yes,No change,Fairly satisfied,,No,Dont know,,Much less Much less Much less Much less,No,No,Fairly satisfied
No,Yes,No,No,No,No,Yes,Not working (less than 8hrs per week) unemployed/ looking for work,Yes,North East,,1,North East,Unemployed Unemployed Unemployed Unemployed Unemployed Unemployed,Essential,No,Yes Yes Yes Yes Yes,No No No,0.0,Yes,No No No,No,,Fairly satisfied,No,No,,Yes,,No,No,Fairly satisfied
No,No,No,No,,No,Yes,Working full time (30hrs+ per week),No,Rest of Scotland Rest of Scotland Rest of Scotland Rest of Scotland Rest of Scotland,,2,Rest of Scotland,"Supervisor; clerical; junior managerial, administrative or professional",Fairly important,No,No,No,1.0,Yes,No,No,,Very satisfied,,,,Yes,,No No No No,No,Very satisfied
No,No,No,No,Yes,No No No No No,Yes,Working full time (30hrs+ per week),,Northern Ireland Northern Ireland,x,2,,"Intermediate managerial, administrative or professional",Fairly important,,No,,0.0,No,No,No,No change,Very satisfied,No,No,No change,No,No change,No,,Very satisfied
,,,,,,No,Not working (less than 8hrs per week) retired,No,Rest of Scotland,X,1,,Semi-skilled or unskilled manual worker,,,,,0.0,,No,No,No change No change No change No change No change No change No change No change,Fairly satisfied,No,,Dont know,,Much less,No,,Fairly satisfied
No,No,No,No,No,No,No,Working part time (8-29hrs per week),Yes,South East,,4,South East,Semi-skilled or unskilled manual worker,Essential,No,No,No,0.0,Yes,No,No,,Very satisfied,,No,,Yes,,No,Yes,Very satisfied
,,,,No,,No,Not working (less than 8hrs per week) \x96 retired Not working (less than 8hrs per week) \x96 retired Not working (less than 8hrs per week) \x96 retired Not working (less than 8hrs per week) \x96 retired Not working (less than 8hrs per week) \x96 retired Not working (less than 8hrs per week) \x96 retired Not working (less than 8hrs per week) \x96 retired Not working (less than 8hrs per week) \x96 retired Not working (less than 8hrs per week) \x96 retired,No,Northern Ireland,X,2,,"High managerial, administrative or professional",,,,,0.0,,No,No No No No,No change,Very satisfied,,No,No change,,No change,No,,Very satisfied
No,No,No,[],No,No,Yes,Working part time (8-29hrs per week),,South West South West South West South West South West South West South West South West,[],2,,Semi-skilled or unskilled manual worker,Essential,No,No,No,0.0,No,No,No,No change,Very satisfied,No,No,No change,No,No change,No,No,Fairly satisfied
No,No,No,No,Yes,No,No,Working full time (30hrs+ per week),Yes,Northern Ireland,x,2,Northern Ireland,Skilled manual worker Skilled manual worker Skilled manual worker Skilled manual worker Skilled manual worker Skilled manual worker Skilled manual worker Skilled manual worker Skilled manual worker,Fairly important Fairly important Fairly important Fairly important Fairly important Fairly important Fairly important Fairly important Fairly important,No,No No No No No No No No,No,1.0,Yes,No,No,Slightly less,Fairly satisfied,,No,Slightly less Slightly less,Yes,Slightly less,No,No,[]
No,Yes,No,No,Yes,No,Yes,Not working (less than 8hrs per week) housewife/ househusband,No,Wales,,2,Wales,Skilled manual worker,Not very important,No,Yes,No,2.0,Yes,No,No,,Very satisfied,No,No,,Yes,,No,No,Very satisfied
,,,,No,,Yes,Working part time (8-29hrs per week),Yes,South East,x,4,South East,Skilled manual worker,,,,,1.0,,No,No,Slightly more,Fairly satisfied,No,No,Dont know,,No change,[],,Fairly satisfied Fairly satisfied Fairly satisfied Fairly satisfied Fairly satisfied Fairly satisfied Fairly satisfied
No,No,No,Yes,,No,Yes,Working full time (30hrs+ per week),Yes Yes Yes,London/Greater London London/Greater London London/Greater London London/Greater London London/Greater London London/Greater London London/Greater London London/Greater London,,2,London/Greater London,"Intermediate managerial, administrative or professional",Fairly important,No,No,No No No No,0.0,No,No No,No,,Very satisfied,No,,,Yes,,Yes Yes Yes,No,Fairly satisfied
No,Yes,No,Yes,Yes,No,Yes,Working full time (30hrs+ per week),,Rest of Scotland,X,2,Rest of Scotland,"Supervisor; clerical; junior managerial, administrative or professional",Not very important Not very important Not very important Not very important Not very important Not very important,,Yes,,0.0,Yes,Yes,No,Much less,Fairly satisfied Fairly satisfied Fairly satisfied Fairly satisfied Fairly satisfied Fairly satisfied,No,No,No change,Yes,Slightly less,No,,Neither satisfied or dissatisfied
,,,,No,,No,Working part time (8-29hrs per week),No,Wales,x,1,Wales,"Supervisor; clerical; junior managerial, administrative or professional Supervisor; clerical; junior managerial, administrative or professional Supervisor; clerical; junior managerial, administrative or professional Supervisor; clerical; junior managerial, administrative or professional Supervisor; clerical; junior managerial, administrative or professional Supervisor; clerical; junior managerial, administrative or professional Supervisor; clerical; junior managerial, administrative or professional Supervisor; clerical; junior managerial, administrative or professional Supervisor; clerical; junior managerial, administrative or professional",,,,,0.0,,No,No,No change,Fairly satisfied,,No,No change,,No change,No,,Fairly satisfied
No,Yes,No,No,Yes,No,No,Working full time (30hrs+ per week) Working full time (30hrs+ per week),,North East,invetation/greeting,2,North East,Skilled manual worker,Essential,,Yes,,0.0,No,No,No No No No No,No change,Very satisfied,,No,Slightly more Slightly more Slightly more,No,No change,No,,Very satisfied
No,No,No,Yes,,No,No,Working part time (8-29hrs per week),No,Northern Ireland,Less,2,,"Supervisor; clerical; junior managerial, administrative or professional",Not very important,,No,,0.0,No,No,No,Slightly less,Neither satisfied or dissatisfied,,,Slightly less,Yes,No change,No,,[]
No No No No No No No No No,No,No,Yes,Yes,No,Yes,Working full time (30hrs+ per week),No,South East,,4,South East,"High managerial, administrative or professional",Essential,No,No,No,2.0,Yes,No,No No,,Very satisfied,No,No,,No,,No,No,Fairly satisfied
,,,,Yes,,Yes,Working full time (30hrs+ per week),Yes,Northern Ireland,X,2,,"High managerial, administrative or professional",,No No No,,No,0.0,,No,No,No change,Very satisfied,No,No,Dont know,,No change,No,No,Very satisfied
,,,,[],,Yes,Not working (less than 8hrs per week) \x96 housewife/ househusband Not working (less than 8hrs per week) \x96 housewife/ househusband Not working (less than 8hrs per week) \x96 housewife/ househusband Not working (less than 8hrs per week) \x96 housewife/ househusband Not working (less than 8hrs per week) \x96 housewife/ househusband,No,Rest of Scotland,X,2,Rest of Scotland,"Supervisor; clerical; junior managerial, administrative or professional Supervisor; clerical; junior managerial, administrative or professional Supervisor; clerical; junior managerial, administrative or professional Supervisor; clerical; junior managerial, administrative or professional",,,,,1.0,,No,No,Much less,Fairly satisfied,No,No,Dont know,,Much less,No,,Fairly satisfied
,,,,Yes,,Yes,Not working (less than 8hrs per week) unemployed/ looking for work,Yes,Rest of Scotland Rest of Scotland Rest of Scotland Rest of Scotland Rest of Scotland,X X X X X X X X,2,,"Intermediate managerial, administrative or professional",,No,,No,0.0,,No,No,No change,Fairly satisfied,No,No,Dont know,,Slightly more,No,No No No,Fairly satisfied
,,,,No,,Yes,Working full time (30hrs+ per week),Yes,East Anglia/East of England,X,1,East Anglia/East of England,Skilled manual worker,,Yes,,No,0.0,,Yes,No,Slightly more,Fairly satisfied Fairly satisfied Fairly satisfied Fairly satisfied,No,No,Dont know,,Slightly less,Yes,No,Fairly satisfied
No No No,No,No,No,No,No,Yes,Working full time (30hrs+ per week),Yes,Rest of Scotland,X,2,Rest of Scotland,"Supervisor; clerical; junior managerial, administrative or professional",Essential,,No,,0.0,Yes,No,Yes Yes Yes Yes Yes,Slightly less,Very satisfied Very satisfied Very satisfied Very satisfied Very satisfied Very satisfied Very satisfied,No,No,No change,Yes,No change,Yes,,Very satisfied
,,,,Yes,,No,Working full time (30hrs+ per week),No,South West,X,3,South West,"Intermediate managerial, administrative or professional",,Yes,,No,3.0,,No,No,No change,Very satisfied,No No,No No No No No No No No,"""Dont know"" ""Dont know"" ""Dont know"" ""Dont know"" ""Dont know"" ""Dont know"" ""Dont know""",,Slightly more,No,[],Very satisfied
No,No,No,Yes,No No No No No No No No,No,Yes,Working full time (30hrs+ per week),,South West,,2,South West,"Supervisor; clerical; junior managerial, administrative or professional",Fairly important,,No,,0.0,No,Yes,No,Much less,Neither satisfied or dissatisfied,No,No,,No,Much less,No,,Fairly satisfied Fairly satisfied Fairly satisfied
No No No No No No,No,No,No,,No,No,Working full time (30hrs+ per week),No,East Anglia/East of England,x,2,,"Supervisor; clerical; junior managerial, administrative or professional",Fairly important,,No,,0.0,Yes,No,[],Much less,Fairly satisfied,,,No change,Yes,Slightly less,[],,Fairly satisfied
,,,,No,,Yes Yes Yes Yes Yes,Not working (less than 8hrs per week) retired,Yes,North East,x,1,North East,"Supervisor; clerical; junior managerial, administrative or professional",,No,,No,0.0,,No,No,Slightly more,Fairly satisfied,No No No No,No,No change,,No change No change No change,Yes,No No No No No No,Fairly satisfied
No,No,No,Yes,No,No,No,Not working (less than 8hrs per week) retired,,Yorkshire/Humberside,,1,,"Intermediate managerial, administrative or professional",Not very important,,No,,1.0,Yes Yes Yes Yes Yes Yes,I dont know,No,No change,Very satisfied,No,No,,Yes,No change,No,,Very satisfied
,,,,Yes,,Yes,Not working (less than 8hrs per week) retired,Yes Yes Yes Yes Yes Yes Yes Yes,North West,x,2,North West,[],,No,,No,1.0,,No,No No No No No No,Slightly more,Very satisfied,No,No,Dont know,,No change,Yes,No,Fairly satisfied
No,No,No,Yes,No,No,Yes,Working full time (30hrs+ per week),Yes,Rest of Scotland,x,2,Rest of Scotland,"Supervisor; clerical; junior managerial, administrative or professional",Not very important,,No,,0.0,No,Yes,No,Much less,Neither satisfied or dissatisfied,No,No,"""Dont know"" ""Dont know"" ""Dont know"" ""Dont know"" ""Dont know"" ""Dont know"" ""Dont know"" ""Dont know"" ""Dont know""",Yes,No change,No,,Neither satisfied or dissatisfied Neither satisfied or dissatisfied Neither satisfied or dissatisfied Neither satisfied or dissatisfied Neither satisfied or dissatisfied Neither satisfied or dissatisfied Neither satisfied or dissatisfied Neither satisfied or dissatisfied Neither satisfied or dissatisfied
No,No,No,No No No No,No,No,Yes,Not working (less than 8hrs per week) \x96 retired Not working (less than 8hrs per week) \x96 retired Not working (less than 8hrs per week) \x96 retired,Yes,East Midlands,x,2,,"Intermediate managerial, administrative or professional",Fairly important,No,No,No,1.0,Yes,Yes,No,No change,Very satisfied,,No,No change No change No change No change No change No change No change No change,Yes,No change,No,No,Very satisfied
No,No No No No No No No No No,No,Yes,No,No,Yes,Not working (less than 8hrs per week) retired,[],South West,X,2,,"Supervisor; clerical; junior managerial, administrative or professional",Essential,,No,,1.0,Yes,No,No,Slightly more,Very satisfied,No,No,Dont know,Yes,Slightly more,No,,Very satisfied
No,No,No,No,,No,Yes,Working full time (30hrs+ per week),No,North East,,1,North East,"Supervisor; clerical; junior managerial, administrative or professional",Essential,,No,,0.0,No,No,No No,,Very satisfied Very satisfied Very satisfied Very satisfied Very satisfied Very satisfied Very satisfied Very satisfied,No,,,No,,No,,Very satisfied
,,,,No,,Yes,Working part time (8-29hrs per week) Working part time (8-29hrs per week),No,Wales,X,1,Wales,"Intermediate managerial, administrative or professional",,No,,Yes,0.0,,No,No,Much more,Fairly satisfied Fairly satisfied Fairly satisfied Fairly satisfied Fairly satisfied Fairly satisfied Fairly satisfied Fairly satisfied Fairly satisfied,No,No,Dont know,,No change,Yes,No,Very satisfied
No,No,No No No,No,No,No,Yes,Not working (less than 8hrs per week) \x96 retired Not working (less than 8hrs per week) \x96 retired Not working (less than 8hrs per week) \x96 retired Not working (less than 8hrs per week) \x96 retired,,Wales,x,2,Wales,"Supervisor; clerical; junior managerial, administrative or professional",Fairly important,No,Yes,No No,0.0,No,No,No,No change,Fairly satisfied,No,No,Much less,No No No No No No,Much less,No,No,Fairly satisfied
,,,,No,,No,Not working (less than 8hrs per week) unable to work due to disability/other,Yes,East Anglia/East of England,X,2,East Anglia/East of England,Student,,,,,0.0,,No,No No No No No No,No change,Fairly satisfied,,No,Dont know,,No change,No,,Very satisfied
No,Yes,No No No No,No,Yes,No,Yes,Not working (less than 8hrs per week) unemployed/ looking for work,No,East Midlands,X,2,East Midlands,Skilled manual worker,Fairly important,,No,,0.0,Yes,No,No,No change,Fairly satisfied,No,No,No change,Yes,No change,No,,Fairly satisfied
No,No,No,Yes,Yes,No,No,Working full time (30hrs+ per week),Yes,South East,,2,,Skilled manual worker,Fairly important,,No,,0.0,Yes,Yes,No,,Very satisfied,No,No,,Yes,,No,,Very satisfied
No,No,No,No,No,No,Yes,Working full time (30hrs+ per week),,East Anglia/East of England,X,2,East Anglia/East of England,Semi-skilled or unskilled manual worker,Fairly important,No,No No No No No No,No,0.0,Yes,Yes,No,Slightly more Slightly more Slightly more,Neither satisfied or dissatisfied,No,No,Dont know,Yes,No change,No,No,Neither satisfied or dissatisfied
No,No,No No No No No,Yes,Yes,No,Yes,Not working (less than 8hrs per week) unable to work due to disability/other,,Rest of Scotland,X,2,Rest of Scotland Rest of Scotland Rest of Scotland Rest of Scotland Rest of Scotland Rest of Scotland Rest of Scotland Rest of Scotland,Unemployed Unemployed Unemployed Unemployed Unemployed Unemployed Unemployed Unemployed Unemployed,Fairly important,,Yes,,0.0,Yes,No,No No No No No No No No,Much less,Fairly satisfied,No,No,No change,Yes,Much less,Yes,,Fairly satisfied
No,No No No No No No No No,No,No,Yes,No,Yes,Not working (less than 8hrs per week) unable to work due to disability/other,,Northern Ireland,x,2,,Unemployed,Essential,,No,,0.0,No,No,No,No change,Very satisfied,No,No,Much less,No,Much less,[],,Very satisfied
,,,,No,,Yes,Working part time (8-29hrs per week),Yes,East Anglia/East of England,x,2,East Anglia/East of England,Skilled manual worker Skilled manual worker Skilled manual worker Skilled manual worker Skilled manual worker,,No,,No,3.0,,No,No,Slightly less,Fairly satisfied,No,No,No change,,No change,Yes,No,Fairly satisfied
,,,,Yes,,No,Not working (less than 8hrs per week) retired,No,North West,x,1,North West,"Intermediate managerial, administrative or professional",,,,,0.0,,No,No,Slightly less Slightly less Slightly less Slightly less,Fairly dissatisfied,,No,No change,,No change,No,,Fairly dissatisfied
,,,,,,Yes,Not working (less than 8hrs per week) retired,No,Rest of Scotland,X,2,,"High managerial, administrative or professional",,,,,12.0,,Yes,No,No change,Fairly satisfied,No,,Dont know,,No change,No,,Fairly satisfied
,,,,,,No,Not working (less than 8hrs per week) unable to work due to disability/other,No,North East,X,1,,"Supervisor; clerical; junior managerial, administrative or professional",,,,,0.0,,No,Yes,No change,Very satisfied,,,No change,,No change,No,,Very satisfied
Yes,Yes,No,No,Yes Yes Yes Yes,No,Yes,Working full time (30hrs+ per week),,[],x,1,South West,"Supervisor; clerical; junior managerial, administrative or professional",Essential,No,Yes,No No No No No No,0.0,No,No,No,No change No change,Fairly satisfied,No,No,No change,No,No change,Yes,No,Very satisfied Very satisfied Very satisfied Very satisfied Very satisfied Very satisfied Very satisfied Very satisfied
No No No No No,No,No,No,Yes,No,Yes,Working full time (30hrs+ per week),Yes,Rest of Scotland,,2,Rest of Scotland,Semi-skilled or unskilled manual worker,Essential Essential Essential Essential Essential Essential Essential,No,Yes,No,0.0,Yes,No,No,,Fairly satisfied,No,No,,No,,No,No,Fairly satisfied
No,No,No No No No No No No No,No,No,No,Yes,Working full time (30hrs+ per week) Working full time (30hrs+ per week) Working full time (30hrs+ per week) Working full time (30hrs+ per week) Working full time (30hrs+ per week) Working full time (30hrs+ per week) Working full time (30hrs+ per week),Yes,Wales,X,2,Wales,"Supervisor; clerical; junior managerial, administrative or professional",Essential,,Yes,,0.0,No,Yes,No,No change,Fairly satisfied,No,No,No change No change No change No change No change No change No change No change,Yes,No change,No,,Fairly satisfied
No,No,No,No,No,No,Yes,Not working (less than 8hrs per week) retired,No No No No No No No No No,Wales Wales Wales Wales Wales,,1,Wales,Semi-skilled or unskilled manual worker,Fairly important,No,No,No,1.0,Yes,No,No,,Fairly satisfied,No,No,,Yes,,Yes,No,Very satisfied
No,No,No,No,No,No,Yes,Working part time (8-29hrs per week) Working part time (8-29hrs per week) Working part time (8-29hrs per week),No,North East North East North East North East North East North East North East North East North East,x,2,North East,Semi-skilled or unskilled manual worker,Essential,No No,No,No,0.0,Yes,No,No,No change No change No change No change No change No change No change No change No change,Fairly satisfied,Yes,No,No change No change No change No change,Yes,Slightly less,No,No,Fairly satisfied
No,No,No,No,No,No,Yes,Working full time (30hrs+ per week),No,Wales,,2,Wales,"Supervisor; clerical; junior managerial, administrative or professional",Fairly important,No,No,No,2.0,Yes,No,No,No change,Very satisfied,No,No No No No No No No,,Yes,No change,No,No,Very satisfied
,,,,,,No,Not working (less than 8hrs per week) student,Yes,[],X,3,,"Supervisor; clerical; junior managerial, administrative or professional",,No,,No,0.0,,No,No,Much more,Very satisfied,No,,Dont know,,No change,No,No,Very satisfied
No,No,No,No,Yes,No,No,Not working (less than 8hrs per week) retired,,Wales,x,1,,Housewife / househusband,Irrelevant Irrelevant Irrelevant Irrelevant Irrelevant Irrelevant Irrelevant Irrelevant,,No,,0.0,Yes,No,Yes,No change,Fairly satisfied,,No,Much less,Yes Yes Yes Yes Yes Yes Yes Yes Yes,Much less,No,,Fairly satisfied Fairly satisfied Fairly satisfied Fairly satisfied
,,,,No,,Yes,Not working (less than 8hrs per week) retired,No,North East,x,3,North East,"Supervisor; clerical; junior managerial, administrative or professional",,No,,No,2.0,,Yes,No,No change,Very satisfied,No No No No No No No No,No,Dont know,,No change,No,No,Very satisfied
No,No,No,Yes,No,No,No,Working full time (30hrs+ per week),No,Rest of Scotland Rest of Scotland Rest of Scotland Rest of Scotland Rest of Scotland Rest of Scotland Rest of Scotland Rest of Scotland Rest of Scotland,x,2,Rest of Scotland,"High managerial, administrative or professional",Fairly important,,No,,0.0,No,Yes,No,Much less,Neither satisfied or dissatisfied,No,No,No change,Yes,No change,No No No No No No No,,Neither satisfied or dissatisfied Neither satisfied or dissatisfied
No,No,No,No,No,No,Yes,Working full time (30hrs+ per week),No,Wales,,1,Wales,"Supervisor; clerical; junior managerial, administrative or professional",Irrelevant,No,No,No,0.0,Yes,No,No,,Very satisfied,No,No,,Yes,,Yes,No,Very satisfied
,,,,Yes,,No,Working part time (8-29hrs per week),No,Rest of Scotland,X,1,Rest of Scotland,Semi-skilled or unskilled manual worker,,,,,0.0,,No,No,No change,Neither satisfied or dissatisfied,,No,Dont know,,No change,No,,Neither satisfied or dissatisfied
Yes,No,No,No,,No No,No,Not working (less than 8hrs per week) retired,,Wales,x,2,,"Supervisor; clerical; junior managerial, administrative or professional",Irrelevant,,No,,0.0,Yes,No,No,No change,Very satisfied,No,,No change,Yes,No change,No,,Very satisfied
