MEDIAN_WIDTH,SURV_G,TYPE_SIGNAL,K_FACTOR,SURV_D,IS_SAMPLE,SPEED_LIMIT,SURV_E,HORZ_ALIGN,PEAK_CAPACITY,COUNTY_CODE,INTER_ROUTE_NUMBER,TRUCK_ROUTE,BEGIN_LRS,SECTION_ID,PEAK_LANES,WIDE_FEAS,PAVEMENT_TYPE,TURN_LANES_L,ROUTE_NUMBER,SECTION_LENGTH,CURVES_C,SAMPLING_TECH,VSF,LRS_ID,SURV_H,IS_GROUPED,URBAN_CODE,SURV_C,STANDARD_TRAFFIC_CATEGORY,AT_GRADE_OTHER,F_SYSTEM,PEAK_PARKING,AADT,SN_D,TOLL,SURV_I,PSR,ACCESS_CONTROL,YEAR_RECORD,TYPE_FACILITY
6,0,4,11,0,1,55,0,0,4112,137,35,1,251.37,35251323,2,5,5,0,35,0.11,0.0,0,0.53,000000AC6900,0,0,113,0,2,0,11,3,35000,10.0,0,0,0.0,1,2004,2
0,0,4,10,0,1,30,0,0,1715,1,0,0,0.0,105930000,1,4,3,4,0,0.42,0.0,0,0.04,0,0,0,256,0,1,3,17,3,736,3.0,0,0,0.0,3,2004,2
0,0,0,9,0,1,45,0,3,1403,25,0,0,55.587,1.30102E+11,2,5,3,0,37,2.27,0.0,0,0.1,SR0370000000,0,0,0,0,1,2,7,0,1460,5.5,0,0,0.0,3,2004,2
0,1,0,14,0,1,25,0,1,2230,11,0,1,246.312,50246312,2,5,4,0,50,7.052,0.0,0,0.05,5000,0,0,0,0,1,5,2,0,660,3.5,0,0,4.1,3,2004,2
0,0,0,14,0,1,55,0,1,2617,61,0,1,136.59,11185,2,4,4,0,057N,1.54,0.0,0,0.46,000000057N00,0,0,0,0,2,7,2,0,8470,3.9,0,0,0.0,3,2004,2
36,0,4,9,0,1,65,0,1,3552,123,0,1,254.495,SSH000000821,2,4,4,0,0000085C,0.506,0.0,0,0.25,085C,0,0,0,1,4,1,2,0,16400,2.5,0,0,0.0,2,2004,2
0,0,4,10,0,1,25,0,0,2716,3,0,0,0.966,7211000600,2,1,3,4,7211,0.18,0.0,0,0.47,0,0,0,52,0,6,2,16,3,23410,1.5,0,0,3.0,3,2004,2
0,0,4,14,0,1,35,0,0,1585,63,0,0,4.571,2.52201E+11,1,5,4,0,0,1.04,0.21,0,0.04,3.20252E+11,0,0,476,0,1,0,17,3,580,3.2,0,0,3.5,3,2004,2
0,0,4,11,0,1,35,0,0,1641,81,0,0,0.0,46001420,1,5,4,0,0,0.96,0.0,0,0.13,0,0,0,177,0,3,0,17,3,3229,3.1,0,0,4.9,3,2004,2
0,0,1,8,0,1,30,0,0,1502,17,0,0,1.3,10202001300,2,2,4,3,511,0.74,0.0,0,0.62,1020200,0,0,85,0,5,2,14,3,19100,3.4,0,0,0.0,3,2004,2
0,0,4,10,0,1,35,0,1,2924,91,0,0,0.0,3.90288E+11,2,2,4,4,0000NONE,0.5,0.0,0,0.26,0,0,0,19,0,5,7,17,3,13700,2.9,0,0,2.3,3,2004,2
10,0,4,11,0,1,65,0,0,3933,43,76,1,250.8,2221XX250800,2,4,6,0,I 076,0.25,0.0,0,0.46,22707600,0,0,83,0,2,0,11,3,29677,7.0,1,0,0.0,1,2004,2
0,0,4,9,0,1,30,0,2,338,45,0,0,0.0,6.17801E+11,1,1,4,4,0,0.17,0.0,0,0.37,,0,0,489,0,3,4,17,1,2375,3.1,0,0,0.0,3,2004,2
0,0,4,11,0,1,30,0,0,468,137,0,0,20.744,36169D0009AF,1,5,3,4,9,0.49,0.0,0,0.6,0,0,0,113,0,2,3,16,1,4657,3.4,0,0,0.0,3,2004,2
50,0,4,11,0,1,65,0,0,5474,103,80,1,11.701,86090860324,3,5,5,0,80,0.019,0.0,0,0.58,8000,0,0,327,0,2,0,11,3,43800,10.0,0,0,3.0,1,2004,2
40,0,4,8,0,1,70,0,1,3831,11,64,1,18.02,60640001802,2,4,6,0,64,0.06,0.0,0,0.51,6400,1,0,0,0,5,0,1,3,47000,5.5,0,0,2.3,1,2004,2
14,0,2,8,0,1,40,0,0,882,31,0,0,0.0,16091,2,5,5,3,0,0.57,0.0,0,0.87,0,0,0,3,0,6,1,17,3,15900,6.0,0,0,4.6,3,2004,2
0,0,4,10,0,1,30,0,0,344,199,0,0,13.358,C00720M08300,1,5,2,4,0,0.368,0.0,0,0.1,000C00720000,0,0,135,0,1,0,17,3,519,2.9,0,0,4.0,3,2004,2
0,0,4,9,0,1,40,0,1,2307,5,0,0,3.41,2038115,2,4,2,0,0,0.25,0.0,0,0.09,54020300,0,0,0,0,1,1,6,3,2051,2.5,0,0,3.9,3,2004,2
0,0,4,10,0,1,40,0,0,1293,95,0,0,6.083,25601003780,1,2,4,4,44,0.83,0.0,0,0.46,2560100,0,0,0,0,4,12,16,3,10600,5.0,0,0,0.0,3,2004,2
0,0,0,14,0,1,35,0,1,1052,87,0,1,62.0,P00037062000,2,5,4,3,212,0.327,0.0,0,0.27,3700,0,0,0,0,1,3,2,0,2020,2.0,0,0,0.0,3,2004,2
0,1,0,14,0,1,60,0,1,2498,21,0,0,1.039,30400000104,2,5,4,4,US   41,5.637,0.0,0,0.17,304000000,0,0,0,0,1,4,2,0,2900,4.0,0,0,2.0,3,2004,2
0,0,4,14,0,1,30,0,0,1665,27,0,0,0.0,205701M00000,1,5,2,4,_FS0439_,0.656,0.0,0,0.15,000FS0439000,0,0,277,0,3,3,17,3,2800,2.4,0,0,0.0,3,2004,2
99,0,0,10,0,1,65,0,1,3490,69,380,1,1.506,13503800150A,2,2,5,0,I 380,0.501,0.0,0,0.35,35038000,0,0,0,0,3,0,1,0,21575,14.0,0,0,0.0,1,2004,2
0,0,4,10,0,1,35,0,0,1715,59,0,0,0.0,8818000497,1,5,4,4,8818,1.545,0.0,0,0.02,0,0,0,347,0,1,5,16,3,600,1.6,0,0,2.5,3,2004,2
0,0,2,8,0,1,40,0,0,2542,1,0,0,7.02,1.00404E+11,2,2,4,2,40,0.44,0.0,0,0.28,1.00404E+11,0,0,285,0,5,5,14,3,16225,4.0,0,0,0.0,3,2004,2
84,0,4,12,0,1,65,0,1,3854,27,8,1,7.659,14I 00800009,2,5,4,0,8,1.786,0.0,0,0.48,000000I00800,0,0,0,0,3,0,11,3,29692,3.0,0,0,4.3,1,2004,2
0,0,3,8,1,1,30,1,0,2138,1,0,0,1.852,4705,2,1,6,5,29,0.603,0.0,0,0.56,1400400,1,0,8,0,6,0,14,2,21210,4.0,0,0,4.0,3,2004,2
0,0,4,8,0,1,40,0,0,3201,97,0,0,3.248,2007002017,2,4,5,4,FF,0.462,0.0,0,0.31,200700,0,0,337,0,6,4,16,3,22174,10.0,0,0,0.4,3,2004,2
0,0,0,11,0,1,55,0,4,2273,39,0,1,104.36,910104360,2,5,4,0,0000099W,1.0,0.0,0,0.26,009100100S00,0,0,0,0,3,0,6,0,5300,3.3,0,0,0.0,3,2004,2
24,0,2,10,0,1,40,0,0,3390,49,0,1,35.92,20070035920,2,4,4,2,70,0.66,0.0,0,0.26,2007000,0,0,0,0,4,9,14,3,17000,3.9,0,0,4.5,3,2004,2
0,0,0,12,0,1,55,0,1,1632,115,0,0,0.0,5.80515E+11,2,5,3,0,0,3.02,0.0,0,0.03,0,0,0,0,0,1,4,7,0,300,2.9,0,0,0.0,3,2004,2
0,0,4,8,1,1,35,0,0,2715,163,0,1,28.59,8.20123E+11,2,2,4,3,62,0.48,0.0,0,0.24,SR0620000000,0,0,114,1,4,5,14,3,14198,5.5,0,0,0.0,3,2004,2
0,0,4,9,0,1,25,0,1,2069,21,0,0,0.0,11104030240A,2,2,6,4,PA403,0.453,0.0,0,0.18,0,0,0,0,0,2,1,7,0,3938,6.4,0,0,0.0,3,2004,2
0,0,4,13,0,1,45,0,0,1704,167,0,0,1.09,17787,1,5,6,4,0,0.62,0.0,0,0.52,2.0668E+11,0,0,146,0,4,1,14,3,13384,5.5,0,0,5.0,3,2004,2
40,0,1,9,0,1,35,0,0,1222,13,0,0,0.0,19054,2,5,4,3,0,0.063,0.0,0,0.17,0,0,0,150,0,3,0,17,3,3760,2.0,0,0,3.6,3,2004,2
16,0,4,10,0,1,50,0,0,2030,303,0,0,10.479,B00820M10479,2,5,6,3,0,1.853,0.0,0,0.07,000B00820000,0,0,122,0,1,7,14,3,2130,5.0,0,0,0.0,3,2004,2
0,0,4,10,0,1,35,0,0,1665,21,0,0,0.0,30191010160,1,1,4,4,191,0.78,0.0,0,0.35,3019100,0,0,193,0,3,10,16,3,9300,3.4,0,0,1.2,3,2004,2
0,1,4,10,0,1,50,0,0,1412,9,0,0,6.772,7.007E+11,1,5,4,2,0,0.24,0.0,0,0.57,7007000000,0,0,263,0,4,2,16,2,14400,2.0,0,0,3.5,3,2004,2
0,0,2,10,0,1,45,0,0,1070,113,0,1,0.0,FU8018001300,1,4,4,3,280,0.38,0.0,0,0.77,0,0,0,109,0,4,0,16,3,12620,3.9,0,0,2.5,3,2004,2
0,0,4,10,0,1,25,0,2,1509,41,0,0,0.0,FL4646000000,1,1,4,3,0,0.52,0.0,0,0.05,0,0,0,0,0,1,0,16,2,1164,2.1,0,0,0.0,3,2004,2
0,0,4,14,0,1,40,0,0,1634,51,0,1,12.75,7090012750,1,3,6,4,7,0.67,0.0,0,0.4,709000,0,0,452,0,3,2,14,3,8800,5.0,0,0,0.0,3,2004,2
0,0,4,8,0,1,25,0,0,1793,1,0,0,2.205,176706,1,5,2,4,0,0.31,0.0,0,0.08,12028600,0,0,196,0,3,1,17,3,2718,2.5,0,0,4.2,3,2004,2
48,0,4,5,0,1,55,0,0,3823,165,0,1,0.43,00048T000430,2,1,6,5,SR00048T,1.07,0.0,0,0.18,000000048T00,0,0,17,0,6,1,14,3,20323,5.5,0,0,3.8,2,2004,2
36,1,4,9,1,1,65,1,0,5965,3,495,1,4.41,600005290,3,4,5,0,0000I495,0.88,0.0,0,0.77,6000,0,0,4,0,4,0,11,3,84340,9.0,0,0,4.0,1,2004,2
0,0,4,11,0,1,25,0,1,1426,65,0,0,0.0,3.30074E+11,1,5,4,4,0,0.138,0.0,0,0.04,361307,0,0,102,0,1,2,17,2,735,3.1,0,0,2.5,3,2004,2
0,0,4,10,0,1,30,0,0,963,49,0,0,7.242,B01385M04500,1,5,2,3,0,0.211,0.0,0,0.26,000B01385000,0,0,0,0,2,2,16,3,4109,2.6,0,0,3.5,3,2004,2
40,0,4,8,0,1,70,0,0,3921,61,68,1,4.56,3.1068E+11,2,5,6,0,68,0.4,0.0,0,0.29,6800,1,0,475,0,2,0,11,3,27500,6.0,0,0,2.6,1,2004,2
8,0,2,8,1,1,55,1,0,3188,21,0,0,5.98,00000001QQ13,2,5,6,4,US 1,0.62,0.0,0,0.7,00000001__00,0,0,69,1,9,0,14,3,52497,6.0,0,0,0.0,3,2004,2
0,0,0,10,0,1,50,0,1,1782,17,0,0,11.18,09CP16340522,2,5,3,0,626,2.0,0.0,0,0.07,PAPERMILRD09,0,0,0,0,1,0,7,0,1161,3.0,0,0,4.0,3,2004,2
0,0,4,10,0,1,45,0,0,1681,65,0,0,6.791,3.55601E+11,1,5,4,4,0,1.13,0.0,0,0.69,3.30356E+11,0,0,86,0,5,2,16,3,17710,3.4,0,0,0.0,3,2004,2
0,0,0,13,0,1,20,0,1,1613,131,0,1,24.61,20158024610,2,5,4,0,158,0.13,0.0,0,0.39,2015800,0,0,0,0,1,2,2,0,4800,3.5,0,0,4.0,3,2004,2
0,0,0,12,0,1,55,0,1,2287,45,0,1,49.38,1077,2,5,4,0,011E,1.0,0.0,0,0.36,1.10E+01,0,0,0,0,2,1,2,0,6838,3.9,0,0,0.0,3,2004,2
0,0,4,11,0,1,30,0,0,3027,13,0,0,0.0,19088,2,5,5,4,0,0.193,0.0,0,0.06,0,0,0,150,0,3,5,17,1,2500,6.0,0,0,3.9,3,2004,2
0,0,2,7,0,1,35,0,2,1608,13,0,0,60.692,07LR98983497,2,1,4,2,0,1.011,0.0,0,0.97,00000RAYRD07,0,0,33,0,8,8,16,3,35139,5.0,0,0,5.0,3,2004,2
0,0,0,15,0,1,50,0,1,673,5,0,0,0.0,50007850,2,4,4,0,5,1.897,0.068,0,0.26,0,0,0,0,0,1,5,7,0,1100,3.3,0,0,0.0,3,2004,2
0,0,4,9,0,1,40,0,0,341,73,0,0,0.0,FU7214002100,1,5,3,4,7214,1.3,0.0,0,0.22,0,0,0,35,0,2,1,17,3,1340,3.0,0,0,2.7,3,2004,2
58,0,3,8,0,1,45,0,0,3475,45,0,0,2.64,1.00135E+11,2,3,4,3,13,1.26,0.0,0,0.33,1.00135E+11,0,0,489,0,7,43,14,3,25050,4.0,0,0,0.0,3,2004,2
0,0,0,13,0,1,60,0,4,1123,61,0,0,0.0,NM0006027820,2,4,4,0,0,0.514,0.0,0,0.17,0,0,0,0,0,1,0,7,0,1397,2.3,0,0,0.0,3,2004,2
44,0,4,12,0,1,55,0,0,4120,21,26,1,35.03,10026035030,2,5,4,0,26,2.54,0.0,0,1.02,1002600,0,0,193,0,3,0,11,3,67000,6.0,0,0,4.5,1,2004,2
66,1,4,9,0,1,65,0,0,3700,51,0,1,4.755,70300000476,2,5,4,4,US   27,1.085,0.0,0,0.31,703000000,0,0,0,0,5,3,14,3,23000,4.0,0,0,1.1,3,2004,2
60,0,4,13,0,1,65,0,0,4092,63,90,1,5.41,14646,2,5,5,0,90,0.33,0.0,0,0.53,9.00E+01,0,0,243,0,2,0,11,3,27736,10.0,0,0,0.0,1,2004,2
0,0,4,11,0,1,40,0,1,1665,173,0,0,0.0,6.3018E+11,1,4,3,0,0000NONE,0.8,0.0,0,0.07,0,0,0,62,0,2,0,17,3,1900,1.1,0,0,3.5,3,2004,2
0,0,0,12,0,1,55,0,1,1738,83,0,1,8.062,1.2495E+11,2,5,5,0,175,0.131,0.0,0,0.19,17500,0,0,0,0,2,0,6,0,2660,8.0,0,0,3.1,3,2004,2
0,0,4,11,0,1,30,0,0,1492,141,0,0,2.543,6061  101 84,1,2,4,4,0,0.28,0.0,0,0.18,606100,0,0,0,0,2,3,16,1,4310,3.4,0,0,5.0,3,2004,2
0,0,4,10,0,1,30,0,0,1603,83,0,0,0.0,25216100430,1,5,4,3,0,0.54,0.0,0,0.35,0,0,0,0,0,4,1,17,3,9200,4.0,0,0,2.4,3,2004,2
0,0,4,11,0,1,55,0,0,3605,67,0,0,260.899,2040261840,2,4,4,0,000IB084,0.941,0.0,0,0.22,00000IB08403,0,0,0,0,3,0,14,3,11661,3.7,0,0,3.9,2,2004,2
86,1,4,9,0,1,65,0,0,4082,11,0,0,36.87,00000055QQ20,2,5,4,0,NJ 55,1.45,0.0,0,0.39,00000055__00,0,0,233,0,2,0,12,3,33906,6.0,1,1,0.0,1,2004,2
0,0,0,12,0,1,70,0,1,2547,9,0,1,44.736,P00004044736,2,5,4,0,212,5.138,0.0,0,0.32,400,0,0,0,0,2,6,2,0,6680,3.0,0,0,0.0,3,2004,2
48,1,0,12,1,1,55,0,1,3713,3,0,1,0.04,340000870,2,5,6,0,0000US13,0.83,0.0,0,0.15,3400,0,0,0,0,3,1,6,0,8303,3.2,0,0,3.4,3,2004,2
0,0,4,12,0,1,30,0,0,343,79,0,0,1.03,3.06401E+11,1,5,6,4,0,0.14,0.0,0,0.26,4.00306E+11,0,0,0,0,2,0,17,3,1130,4.8,0,0,4.5,3,2004,2
0,0,4,10,0,1,35,0,0,1594,105,0,0,0.0,41329000000,1,4,4,4,1329,0.13,0.0,0,0.13,4132900,0,0,0,0,3,1,17,3,3100,3.1,0,0,4.6,3,2004,2
0,0,2,9,0,1,35,0,0,1198,81,0,0,0.0,4.1006E+11,1,5,4,2,6,0.14,0.0,0,0.16,0,0,0,0,0,3,0,17,3,3800,3.1,0,0,4.5,3,2004,2
0,0,0,13,0,1,45,0,4,1285,33,0,0,0.0,NM0161024051,2,2,4,0,0,7.851,0.0,0,0.03,0,0,0,0,0,1,0,7,0,257,2.6,0,0,0.0,3,2004,2
23,0,4,9,0,1,55,0,0,8436,17,95,1,53.182,16792,4,5,4,0,95,0.518,0.0,0,0.95,0000I95_NB00,0,0,7,0,7,0,11,3,167497,5.5,0,0,3.4,1,2004,2
40,0,1,11,0,1,55,0,0,2109,115,0,0,143.02,16797,2,5,6,3,36,0.79,0.0,0,0.46,0000U0360000,0,0,169,0,4,2,14,3,14629,5.5,0,0,4.0,2,2004,2
0,0,4,10,0,1,35,0,0,1352,35,0,0,0.0,11801500260A,1,5,6,4,PA150,0.412,0.146,0,0.28,0,0,0,0,0,4,3,17,2,6772,4.8,0,0,0.0,3,2004,2
999,0,2,10,0,1,45,0,0,1955,93,0,0,15.07,S03301015070,2,5,6,3,441,0.19,0.0,0,1.14,47SR03300100,0,0,98,0,8,2,14,3,38800,7.0,0,0,0.0,3,2004,2
16,0,4,9,0,1,35,0,0,2750,155,0,1,2.939,19540202901,2,5,5,4,6,0.036,0.0,0,0.45,600,0,0,46,0,6,1,14,3,22900,9.0,0,0,0.0,2,2004,2
56,0,4,10,0,1,55,0,0,3958,49,90,1,23.305,12500900230B,2,5,5,0,I 090,0.269,0.0,0,0.66,25009000,0,0,95,0,2,0,11,3,46782,14.0,0,0,0.0,1,2004,2
12,0,2,9,0,1,40,0,1,3283,85,0,0,4.03,04C028115000,3,3,4,3,0,0.17,0.0,0,0.44,000000C02801,0,0,32,0,7,1,14,3,28700,5.0,0,0,2.9,3,2004,2
18,0,1,10,0,1,45,0,0,2268,77,0,1,18.17,2.00123E+11,2,3,4,3,123,1.77,0.0,0,0.98,000US0123000,0,0,0,0,7,14,14,3,33878,4.5,0,0,3.9,3,2004,2
12,0,4,9,0,1,25,0,0,1426,113,0,0,0.869,03Y158105000,1,3,4,4,0,0.12,0.0,0,0.09,000000Y15801,0,0,381,0,3,1,17,2,2433,4.0,0,0,1.5,3,2004,2
0,0,4,18,0,1,35,0,0,1603,141,0,0,0.0,432584,1,5,4,4,0,0.25,0.0,0,0.16,0,0,0,0,0,1,1,16,3,2280,3.0,0,0,0.0,3,2004,2
0,0,4,22,0,1,25,0,0,1406,47,0,0,0.0,6560  100 42,1,4,5,4,0,0.41,0.0,0,0.04,656000,0,0,0,0,1,4,17,2,413,8.0,0,0,4.2,3,2004,2
0,0,4,10,0,1,35,0,0,1641,215,0,0,31.865,B00275M19800,1,5,2,0,0,0.542,0.0,0,0.43,000B00275000,0,0,230,0,5,0,17,3,11620,2.4,0,0,0.0,3,2004,2
0,0,4,10,0,1,25,0,0,1569,1,0,0,0.306,3.0512E+11,1,4,4,4,0,0.42,0.0,0,0.11,,0,0,285,0,3,1,17,3,2250,3.1,0,0,0.0,3,2004,2
32,0,4,8,0,1,55,1,0,6102,31,70,1,281.56,SSH000000197,3,5,4,0,0000070A,1.053,0.0,0,0.94,070A,1,0,24,1,6,0,11,3,132400,4.9,0,0,0.0,1,2004,2
0,0,4,9,0,1,55,0,0,3542,153,0,0,10.04,20001010040,2,5,4,4,1,0.25,0.0,0,0.09,2000100,0,0,0,0,2,4,14,3,6900,3.5,0,0,4.8,3,2004,2
0,0,0,12,0,1,55,0,2,4231,77,0,1,13.012,4.91854E+11,3,5,4,0,141,0.088,0.0,0,0.07,14100,0,0,0,0,1,1,6,0,2290,5.8,0,0,3.9,3,2004,2
0,0,4,10,0,1,40,0,0,475,39,0,0,0.0,2.00325E+11,1,1,3,4,0,0.07,0.0,0,0.5,0,0,0,325,0,2,0,16,3,4249,3.8,0,0,3.0,3,2004,2
0,0,4,10,0,1,30,0,0,1579,43,0,0,0.0,2.20023E+11,1,2,3,4,0,0.3,0.0,0,0.34,0,0,0,31,0,3,2,16,3,8818,3.8,0,0,4.0,3,2004,2
0,0,4,11,0,1,65,0,1,2326,157,0,1,0.0,U03600223353,2,1,4,0,36,2.022,0.0,0,0.06,079U00036000,0,0,0,0,1,2,2,0,1168,4.0,0,0,0.0,3,2004,2
0,0,0,10,0,1,30,0,1,1593,17,0,0,0.0,3.09234E+11,2,4,3,4,0,0.09,0.0,0,0.06,0,0,0,0,0,1,1,7,0,818,2.9,0,0,3.9,3,2004,2
24,0,2,9,0,1,45,0,0,4303,95,0,0,2.184,7.5035E+11,3,5,4,3,0,0.546,0.0,0,0.48,7503500100,0,0,87,0,8,2,16,3,41500,2.0,0,0,5.0,3,2004,2
0,0,4,12,0,1,25,0,0,1222,1,0,0,4.603,31580002860,1,4,4,4,0,0.1,0.0,0,0.21,003158100H00,0,0,0,0,2,1,16,2,3870,3.4,0,0,3.2,3,2004,2
16,0,0,8,0,1,35,0,3,1460,15,0,1,210.624,SSH000000141,2,5,6,0,0000024A,0.447,0.1,0,0.35,024A,0,0,0,0,4,4,6,0,11700,5.2,0,0,0.0,3,2004,2
0,0,4,9,0,1,25,0,0,3019,31,0,0,0.84,1668U xx0084,2,3,5,0,CITYSTRT,0.85,0.0,0,0.19,1668U 0000,0,0,200,0,4,0,14,3,11083,9.0,0,0,0.0,3,2004,2
0,0,2,14,0,1,30,0,0,678,161,0,0,0.0,17410,1,5,5,3,0,0.45,0.0,0,0.46,0,0,0,74,0,3,4,17,2,3700,8.0,0,0,3.1,3,2004,2
0,0,4,11,0,1,30,0,0,1698,127,0,0,4.265,B00365M02650,1,5,6,4,0,0.316,0.0,0,0.03,000B00365000,0,0,0,0,1,6,17,3,500,4.3,0,0,3.1,3,2004,2
45,0,4,11,0,1,65,0,0,3995,13,15,1,282.535,I00015282535,2,5,4,0,15,0.299,0.0,0,0.15,1500,0,0,210,0,1,0,11,3,9060,4.6,0,0,0.0,1,2004,2
60,0,4,12,0,1,65,0,1,3735,65,10,1,150.331,80010151149,2,4,4,0,10,3.513,0.0,0,0.47,1001,0,0,0,0,3,0,11,3,24000,5.7,0,0,0.0,1,2004,2
0,0,0,16,0,1,55,0,1,1770,41,0,1,213.6,465,2,5,6,0,008E,1.48,0.0,0,0.15,8.00E+00,0,0,0,0,1,2,2,0,1589,5.1,0,0,0.0,3,2004,2
0,0,0,8,0,1,45,0,1,1475,47,0,0,1.62,2.3E+11,2,5,4,0,SR00003,0.11,0.0,0,0.24,000SR0000300,0,0,0,0,3,0,6,0,7778,4.1,0,0,0.0,3,2004,2
0,0,4,9,0,1,25,0,0,1212,5,0,0,0.0,335013070,1,1,3,4,PR 335,0.174,0.0,0,0.38,0,0,0,508,0,4,1,17,1,5100,3.3,0,0,3.5,3,2004,1
0,0,4,10,0,1,70,0,1,2097,83,0,1,381.875,007802M01000,2,5,2,0,_US0067_,6.399,0.0,0,0.1,000US0067000,0,0,0,0,1,0,2,0,2036,3.4,0,0,0.0,3,2004,2
0,0,4,10,0,1,30,0,0,1361,33,0,0,0.0,1211401741A1,1,4,6,3,0,1.07,0.0,0,0.66,1E+11,0,0,20,0,5,15,14,1,16510,3.5,0,0,3.5,3,2004,2
0,0,1,12,0,1,30,0,0,870,109,0,0,3.106,76455E0104AA,1,3,5,3,104,0.81,0.0,0,0.94,0,0,0,244,0,4,6,16,2,11328,8.0,0,0,0.0,3,2004,2
0,0,4,10,0,1,35,0,0,343,93,0,0,0.0,54704200060X,1,2,4,4,0,0.45,0.0,0,0.2,0,0,0,0,0,2,3,17,3,1204,6.0,0,0,0.0,3,2004,2
0,1,0,11,0,1,65,0,1,1520,29,,1,386.77,1.50212E+11,2,2,5,0,212,1.273,0.0,0,0.16,21200,0,0,0,0,1,3,2,0,2145,9.0,0,0,0.0,3,2004,2
0,0,4,10,0,1,50,0,0,3678,201,0,0,1074.685,002802X10000,2,5,5,0,_US0090_,0.184,0.0,0,0.01,000US0090002,0,0,15,0,1,0,17,3,250,8.0,0,0,0.0,3,2004,1
90,1,4,10,1,1,70,0,0,4053,15,75,1,14.128,10750001413,2,5,4,0,I    75,0.964,0.0,0,0.7,107500000,1,0,408,1,3,0,11,3,56000,4.0,0,1,3.0,1,2004,2
0,0,4,11,0,1,45,0,0,1318,105,0,0,0.734,1.6E+11,1,5,3,4,0,0.298,0.0,0,0.34,1600004700,0,0,262,0,4,3,17,2,6600,1.0,0,0,3.0,3,2004,2
36,0,3,10,0,1,45,0,1,1257,1,0,0,6.181,FL4061006181,2,5,3,3,4061,0.969,0.0,0,1.19,0000FL406100,0,0,70,0,7,1,14,3,29758,3.8,0,0,0.0,3,2004,2
0,0,0,14,0,1,55,0,1,1656,145,0,0,235.56,07173C0004AC,2,5,4,0,4,3.32,0.0,0,0.12,0,0,0,0,0,1,3,7,0,1350,3.3,0,0,0.0,3,2004,2
0,0,0,14,0,1,35,0,1,0,49,0,0,0.0,1824113866,2,4,1,0,0,3.05,0.0,0,0.0,0,0,0,0,0,1,1,7,0,150,0.0,0,0,0.0,3,2004,2
0,0,4,11,0,1,45,0,0,1657,89,0,0,0.0,14520120090A,1,5,6,4,US209B,0.517,0.0,0,0.16,0,0,0,0,0,3,1,17,3,4190,5.6,0,0,0.0,3,2004,2
