received_date,Auth_Description,Op_Name,Short Notice Short Notice,Description,Variation Number Variation Number,Service_Type_Other_Details
15/12/08,The City of Edinburgh Council,MCGILLâS SCOTLAND EAST LIMITED,Yes,Standard National,16,"Daily.  Curtailed service in opertaion on the 25th, 26th of December and the 1st , 2nd of January."
17/11/14,Strathclyde Partnership for Transport,FIRST GLASGOW (NO2) LTD,No,Standard National,6,Monday to Sunday
08/07/20,East Lothian Council,EAST COAST BUSES LIMITED,Yes,Standard National,17,"TEMPORARY VARIATION - COVID 19 - SERVICE REVISION
TEMPORARY VARIATION - COVID 19- revised timetable"
25/01/08,Highland Council,HIGHLAND COUNTRY BUSES LTD,No,Standard National,3,Monday to Saturday
25/06/20,Strathclyde Partnership for Transport,WESTERN BUSES LIMITED,Yes,Standard International,16,Service variation due to emergency situation
21/11/14,Angus Council,FIFE SCOTTISH OMNIBUSES LTD,No,Standard International,1,Revised timetable
27/07/20,Falkirk District Council,MIDLAND BLUEBIRD LTD,Yes,Standard National,15,Monday to Friday School Days only
27/10/02,Highland Council,BLUEBIRD BUSES LIMITED,Yes,Standard International,2,"No service: 25 Dec & 1 Jan.  saturday service27, 30 Dec & 3/1 Jan.  Sunday service 26 Dec & 2 Jan."
12/05/17,Aberdeenshire Council,BLUEBIRD BUSES LIMITED,Yes,Standard International,22,"Mon to Sat up to every 15 minutes to Portlethen, 30 mins to N"
05/05/06,Strathclyde Partnership for Transport,FIRST GLASGOW (NO1) LTD,No,Standard National,3,
11/07/16,Stirling Council,MIDLAND BLUEBIRD LTD,Yes,Standard National,6,
12/11/07,Dumfries & Galloway Council,WESTERN BUSES LIMITED,No,Standard International,3,"Daily.  This service will not operate 25, 26 December, 1, January. Sunday service 2 January or on similar dates in subsequent years"
06/04/20,Comhairle nan Eilean Siar Council,LOCHS MOTOR TRANSPORT LTD,Yes,Standard National,1,"Service suspended due to Covid 19

(Service prior was: Monday to Friday School days only)"
01/07/16,Dundee City Council,TAYSIDE PUBLIC TRANSPORT CO LTD,Yes,Standard National,5,Monday to Sunday
20/06/23,Fife Council,BAY TRAVEL COACHES LTD,No,Standard International,6,Schooldays only
30/01/15,Perth & Kinross Council,FIFE SCOTTISH OMNIBUSES LTD,No,Standard International,2,Revised timetable- evening journeys withdrawn
04/09/09,Scottish Borders Council,JOHN MACEWAN,Yes,Standard National,1,Daily
09/12/10,Strathclyde Partnership for Transport,MCGILL'S BUS SERVICE LTD,No,Standard National,0,Daily
13/03/20,East Ayrshire Council,WESTERN BUSES LIMITED,Yes,Standard International,0,"Major racecourse event day only service, will only operate on major events at Ayr Racecourse. Timetable is for illustrative purposes only."
23/05/03,Scottish Borders Council,MIDLAND BLUEBIRD LTD,No,Standard National,1,
09/08/18,Shetland Islands Council,GARY HALL JOHNSON,Yes,Standard National,1,Monday to Saturday
09/04/20,The City of Edinburgh Council,LOTHIAN BUSES LIMITED,Yes,Standard International,4,TEMPORARY VARIATION - COVID 19 - New Mon-Sat timetable introduced between Sighthill and Ocean Terminal
11/11/20,Argyll & Bute Council,CRAIG OF CAMPBELTOWN LTD,Yes,Standard International,7,"Monday to Saturday
Timetable varied due to Covid 19
Temporary variation - Covid 19"
28/10/13,West Lothian Council,MCGILLâS SCOTLAND EAST LIMITED,Yes,Standard National,6,"Daily
Easter Friday-Saturday Service. Easter Monday-Saturday Service.  May Day Monday-Saturday Service. 24 December-Normal Saturday Service with early finishes at approx 22:00.  25 & 26 December - No Service.  Weekdays between 27 December and 30 December"
06/01/12,The City of Edinburgh Council,LOTHIAN BUSES LIMITED,No,Standard International,18,"ROUTE EXTENDEDTO QMU DURING PEAK PERIODS. 
Revised May Day holiday timetble 
SERVICE LEVELS ON HOLIDAYS
1ST JANUARY NO SERVICE
2ND JANUARY SUN SERVICE
3RD IF 1ST JAN FALLS ON A SAT OR SUN SAT SERVICE
4TH IF 1ST FALLS ON SAT SAT SERVICE

3RD JAN IF"
08/11/13,Strathclyde Partnership for Transport,FIRST GLASGOW (NO1) LTD,No,Standard National,15,"This service will not operate 25 Dec or 1 Jan and all public/local holidays. 
 Effective on similar dates in subsequent years."
25/11/10,South Ayrshire Council,WESTERN BUSES LIMITED,No,Standard International,11,Mon - Fri 0655 & Sat 0715 ex Ayr moved 10 mins later & revised running time and departure time on return trips ex Rankinston.
11/04/14,Strathclyde Partnership for Transport,GILLENS COACHES LTD,No,Standard National,1,Daily 0845 to 1800
01/07/16,Perth & Kinross Council,FIFE SCOTTISH OMNIBUSES LTD,Yes,Standard International,25,Revised timetable withdrawing evening tendered journeys
01/07/20,Fife Council,FIFE SCOTTISH OMNIBUSES LTD,No,Standard International,3,Cancel
05/08/11,The City of Edinburgh Council,SCOTTISH CITYLINK COACHES LTD,No,Standard National,2,Daily
06/01/22,The City of Edinburgh Council,MIDLAND BLUEBIRD LTD,Yes,Standard National,41,
18/08/09,Highland Council,HIGHLAND COUNTRY BUSES LTD,Yes,Standard National,3,Monday to Saturday
22/06/04,Fife Council,FIFE SCOTTISH OMNIBUSES LTD,Yes,Standard International,5,"No service: 25/26 Dec & 1/2 Jan.
Saturday service: 27/30 December & 3 January.
Curtailed service: 24/31 dec."
15/12/08,Highland Council,BLUEBIRD BUSES LIMITED,Yes,Standard International,0,Christmas night time service.
09/05/16,Strathclyde Partnership for Transport,MCGILL'S BUS SERVICE LTD,Yes,Standard National,12,"MOnday to Sunday, every 30 minutes"
03/05/19,East Lothian Council,EVE COACHES LTD.,Yes,Standard International,4,"Monday to Sunday

No service 25/26 Dec or 1/2 Jan"
05/04/21,Dundee City Council,TAYSIDE PUBLIC TRANSPORT CO LTD,Yes,Standard National,2,Monday to Saturday
30/06/17,Fife Council,FIFE SCOTTISH OMNIBUSES LTD,No,Standard International,1,Revised timetable: additional morning journeys introduced
12/08/03,West Lothian Council,MIDLAND BLUEBIRD LTD,Yes,Standard National,4,Daily.  Mainly hourly frequency
02/12/11,Aberdeen City Council,FIRST ABERDEEN LTD,No,Standard National,14,"Monday to Sunday
Holiday timetable to operate on 26th of December and the 2nd of January only."
17/04/13,Clackmannan Council,FIFE SCOTTISH OMNIBUSES LTD,Yes,Standard International,2,Service 15A journeys revised to omit Skinflats
28/11/08,Strathclyde Partnership for Transport,WESTERN BUSES LIMITED,Yes,Standard International,13,"Daytime service. Monday to Saturday half hourly, hourly Sundays."
07/06/22,Aberdeen City Council,BLUEBIRD BUSES LIMITED,Yes,Standard International,8,Mon - Sun Irregular Service
20/03/20,Angus Council,FIFE SCOTTISH OMNIBUSES LTD,Yes,Standard International,1,"Service suspended due to COVID 19

(Service prior was:New service awarded by Angus Council)"
23/06/08,Dundee City Council,FIFE SCOTTISH OMNIBUSES LTD,No,Standard International,16,"No service: 25 Dec & 1 Jan.
Saturday service: Local public Holidays if not a schoolday."
10/12/21,Aberdeenshire Council,BLUEBIRD BUSES LIMITED,Yes,Standard International,13,Mon - Saturday. Tendered Service Hourly
20/04/11,Dundee City Council,TAYSIDE PUBLIC TRANSPORT CO LTD,Yes,Standard National,9,This service will not operate on 25 Dec 1 Jan. Sunday service to operate 26 Dec 2 Jan. Curtailed services
02/07/20,Stirling Council,GARELOCHHEAD MINIBUSES & COACHES LTD,Yes,Standard National,5,"Service varied due to Covid 19 

(Service prior was: Monday to Sunday 90 minute frequency during the day, various in morning and evening.)"
26/02/04,Highland Council,BLUEBIRD BUSES LIMITED,Yes,Standard International,7,"Daily.  This service will not operate 25,December,1,January
curtailed service
24 Dec
Saturday service 27,30 Dec &3 Jan
Curtailed Saturday service
31 Dec
Curtailed Sunday service 
26 Dec & 2 Jan"
29/06/20,Strathclyde Partnership for Transport,MCGILL'S BUS SERVICE LTD,Yes,Standard National,3,"Daily
Temporary Variation due to Covid 19"
15/07/20,The City of Edinburgh Council,BORDERS BUSES LTD,Yes,Standard National,9,"TEMPORARY VARIATION - COVID 19 - Revised route and timetable
Temporary variation - COVID 19 - increased frequency
TEMPORARY VARIATION - COVID 19  - revised timetable"
06/12/05,Midlothian Council,MIDLAND BLUEBIRD LTD,Yes,Standard National,9,Daily.  Hourly frequency or less
10/09/14,West Lothian Council,SAMUEL JAMES DOUGLAS,Yes,Standard National,0,Mon to Sat
27/10/06,The City of Edinburgh Council,LOTHIAN BUSES LIMITED,No,Standard International,0,Service to operate 26 Dec 06 & 1 Jan 07 only
24/06/20,Perth & Kinross Council,FISHERS TOURS LIMITED,Yes,Standard International,3,"Temporary suspension of service (in response to COVID-19)
Reinstate timetable to pre covid service level"
03/02/22,Argyll & Bute Council,CRAIG OF CAMPBELTOWN LTD,No,Standard International,36,
27/04/09,Stirling Council,FIFE SCOTTISH OMNIBUSES LTD,No,Standard International,15,"Daily service, approx every 120mins"
19/10/18,The City of Edinburgh Council,LOTHIAN COUNTRY BUSES LIMITED,No,Standard National,0,Daily
20/12/02,Aberdeenshire Council,BLUEBIRD BUSES LIMITED,Yes,Standard International,1,
05/02/09,West Lothian Council,MCGILLâS SCOTLAND EAST LIMITED,Yes,Standard National,0,"Monday to Friday

Outward Ex Fauldhouse at 0624

Inward Ex Edinburgh at 1715"
28/01/21,Strathclyde Partnership for Transport,J M B TRAVEL LTD,Yes,Standard National,15,Monday to Saturday
28/03/13,Strathclyde Partnership for Transport,FIRST GLASGOW (NO1) LTD,No,Standard National,0,
05/08/11,Fife Council,FIFE SCOTTISH OMNIBUSES LTD,Yes,Standard International,4,Schooldays only
29/11/19,Clackmannan Council,MIDLAND BLUEBIRD LTD,No,Standard National,3,Monday to Saturday
21/04/11,Strathclyde Partnership for Transport,FIRST GLASGOW (NO1) LTD,No,Standard National,19,"Daily
Special service to operate 25 Dec or 1 Jan. 
Ltd services to operate between 26 Dec & 2 Jan and on all public/local hols,according to schds submitted  and on similar dates in subsequent yrs.

At request of local authority the timetable variation"
29/11/22,Falkirk District Council,PRENTICE WESTWOOD LTD,Yes,Standard International,1,Monday to Friday
01/10/10,Aberdeenshire Council,BLUEBIRD BUSES LIMITED,No,Standard International,10,Monday to Saturday every half hour Sunday hourly
17/09/21,Highland Council,HIGHLAND COUNTRY BUSES LTD,Yes,Standard National,5,Infrequent service Monday to Friday
03/12/02,Strathclyde Partnership for Transport,FIRST GLASGOW (NO1) LTD,Yes,Standard National,2,"Daily
Special service to operate 25 Dec or 1 Jan. 
Ltd services to operate between 26 Dec & 2 Jan and on all public/local hols,according to schds submitted  and on similar dates in subsequent yrs."
20/03/20,Fife Council,FIFE SCOTTISH OMNIBUSES LTD,Yes,Standard International,2,Temporary suspension of service (COVID- 19 response)
08/11/18,Strathclyde Partnership for Transport,GARELOCHHEAD MINIBUSES & COACHES LTD,Yes,Standard National,4,Daily
17/06/11,Dundee City Council,TAYSIDE PUBLIC TRANSPORT CO LTD,No,Standard National,17,Daily. Saturday service on public holidays
02/11/22,The City of Edinburgh Council,LOTHIAN BUSES LIMITED,Yes,Standard International,1,Daily
30/11/10,Highland Council,BLUEBIRD BUSES LIMITED,Yes,Standard International,12,"Mon - Sat hourly to Elgin, hourly to Fort George. Sun hourly to Ardersier"
22/06/12,Moray Council,BLUEBIRD BUSES LIMITED,No,Standard International,19,Approximately 2 Hourly Monday to Friday and Saturday. No Sunday Service.
06/02/12,East Ayrshire Council,WESTERN BUSES LIMITED,No,Standard International,2,"0700, 0755 & 1822 Saturday trips ex Kilmarnock to Glasgow added and 0750 Saturday trip ex Glasgow.."
30/01/19,North Ayrshire Council,WESTERN BUSES LIMITED,Yes,Standard International,29,"Non chargeable roadworks - normal route resumed on 2nd March 2019 or when High Street, Irvine reopens northbound."
09/09/16,Strathclyde Partnership for Transport,FIRST GLASGOW (NO1) LTD,Yes,Standard National,4,Daily
04/03/11,Aberdeen City Council,BLUEBIRD BUSES LIMITED,Yes,Standard International,15,Monday to Saturday approximately every 10 mins Sunday every 20 mins
25/03/20,Dundee City Council,FISHERS TOURS LIMITED,Yes,Standard International,2,Temporary suspension of service (in response to COVID-19)
30/07/10,Aberdeen City Council,FIRST ABERDEEN LTD,No,Standard National,11,
17/10/03,The City of Edinburgh Council,FIFE SCOTTISH OMNIBUSES LTD,Yes,Standard International,11,"No service 25 Dec 1 Jan
T/T change 26 Dec & 2 Jan
Saturday service 27/30 Dec & 3 Jan. Curtailed services 24/31 Dec. ASDSY"
14/07/14,Highland Council,BLUEBIRD BUSES LIMITED,No,Standard International,2,Night service for festive period.
31/01/03,Stirling Council,MIDLAND BLUEBIRD LTD,No,Standard National,0,"Monday to Friday.
No service: 25/26 December & 1/2 January."
30/01/04,Strathclyde Partnership for Transport,SHUTTLE BUSES LTD,No,Standard National,6,
04/08/17,Strathclyde Partnership for Transport,WESTERN BUSES LIMITED,No,Standard International,17,Route changed to serve Miller Road and Ayr Bus Station to improve punctuality.
07/10/22,The City of Edinburgh Council,LOTHIAN BUSES LIMITED,No,Standard International,40,
24/03/11,The City of Edinburgh Council,SCOTTISH CITYLINK COACHES LTD,No,Standard National,6,daily
03/02/22,Strathclyde Partnership for Transport,FIRST GLASGOW (NO2) LTD,No,Standard National,2,Daily
15/01/10,Cumbria County Council ,TELFORD'S COACHES LTD,Yes,Standard International,4,Revised timetable.
29/07/22,The City of Edinburgh Council,LOTHIAN BUSES LIMITED,No,Standard International,16,Monday to Friday
04/03/19,Aberdeen City Council,BLUEBIRD BUSES LIMITED,No,Standard International,34,"Approximately every 20 mins Monday to Saturday, every 30 mins Sunday"
15/10/13,West Lothian Council,MCGILLâS SCOTLAND EAST LIMITED,Yes,Standard National,40,"Daily.  

Curtailed service 25/26 Dec & 1/2 Jan 


"
25/03/19,Highland Council,SHIEL BUSES LTD,No,Standard National,0,Service operates from 13th May 2019 to 13th October 2019 and from second Monday in May to second Sunday in October on subsequent years
18/07/08,Stirling Council,MIDLAND BLUEBIRD LTD,Yes,Standard National,2,
01/07/16,Fife Council,FIFE SCOTTISH OMNIBUSES LTD,Yes,Standard International,1,Revised timetable: frequency revised to hourly.
30/03/09,Strathclyde Partnership for Transport,FIRST GLASGOW (NO1) LTD,No,Standard National,1,"Tuesday, Wednesday, Thursday on college days only"
09/04/21,Highland Council,THE DURNESS BUS LTD,Yes,Standard International,1,Monday to Saturday School summer holidays only
29/10/15,Dundee City Council,FIFE SCOTTISH OMNIBUSES LTD,No,Standard International,2,Registration of timetables to operate on 26 December and 2 January.
22/11/13,Midlothian Council,MIDLAND BLUEBIRD LTD,Yes,Standard National,40,Daily.  Hourly frequency or less
10/03/15,Strathclyde Partnership for Transport,MCGILL'S BUS SERVICE LTD,No,Standard National,10,"MOnday to Sunday, every 30 minutes"
10/11/06,Argyll & Bute Council,SCOTTISH CITYLINK COACHES LTD,Yes,Standard National,6,
08/09/17,Dundee City Council,TAYSIDE PUBLIC TRANSPORT CO LTD,No,Standard National,36,Electronic Copy of Current Timetable
12/02/03,Midlothian Council,MCGILLâS SCOTLAND EAST LIMITED,Yes,Standard National,5,"No service: 25/26 December & 1/2 January.  
Curtailed Service: 31 December."
09/12/09,Strathclyde Partnership for Transport,WESTERN BUSES LIMITED,No,Standard International,10,Route changed to include Dalry schemes previously covered by 25A & section Irvine Railway Station to Irvine Cross removed.
11/02/04,Aberdeen City Council,FIRST ABERDEEN LTD,No,Standard National,1,
07/11/14,Orkney Islands Council,HIGHLAND COUNTRY BUSES LTD,No,Standard National,4,Infrequent service.
03/09/12,Moray Council,BLUEBIRD BUSES LIMITED,Yes,Standard International,1,Approximately hourly Mon - Sat
03/06/05,Dundee City Council,FIFE SCOTTISH OMNIBUSES LTD,Yes,Standard International,15,"Daily, as per schedules.  This service will not operate 25 December, 1 January.saturday service 27/30 Dec & 3 Jan.  Special timetable will operate on local and national public holidays"
04/04/16,Strathclyde Partnership for Transport,WESTERN BUSES LIMITED,Yes,Standard International,16,Sunday trips reduced to hourly with increased running time
17/06/21,Strathclyde Partnership for Transport,WESTERN BUSES LIMITED,Yes,Standard International,14,"Service variation due to new one traffic system - New Street, Stevenston"
10/03/17,Strathclyde Partnership for Transport,FIRST GLASGOW (NO1) LTD,No,Standard National,3,Daily
08/07/19,North Ayrshire Council,WESTERN BUSES LIMITED,No,Standard International,28,Two schoolday only trips moved. 0855 Kildonan to Whiting Bay to 0840 and 1535 Whiting Bay to Kildonan to 1505.
07/04/09,Strathclyde Partnership for Transport,WESTERN BUSES LIMITED,No,Standard International,5,"Daytime service. Monday to Saturday, half hourly."
09/10/03,Aberdeen City Council,BLUEBIRD BUSES LIMITED,No,Standard International,4,"This service will not operate 
25,26 Dec & 1,2 Jan and on similar dates in subsequent years"
27/03/12,Angus Council,J P MINICOACHES LTD,No,Standard National,1,Monday to Friday
28/08/09,Strathclyde Partnership for Transport,FIRST GLASGOW (NO1) LTD,No,Standard National,8,No service: 25/26 Dec & 1/2 Jan.Curtailed service to operate between 24 Dec & 3 Jan and all public/local holidays. Effective on similar dates in subsequent years.
06/09/13,Fife Council,FIFE SCOTTISH OMNIBUSES LTD,Yes,Standard International,1,New service: 2 Journeys on Sunday mornings only.
28/10/04,The City of Edinburgh Council,LOTHIAN BUSES LIMITED,No,Standard International,5,Monday to Friday.  Hourly frequency 0015 to 0415.  Saturday and Sunday.  30 minute frequency 0015 to 0415
27/11/17,Aberdeen City Council,BLUEBIRD BUSES LIMITED,No,Standard International,19,"Approximately hourly Monday to Saturday, 2 hourly Sunday"
14/10/20,Scottish Borders Council,BORDERS BUSES LTD,Yes,Standard National,11,"Service varied due to Covid 19

(Service prior was Daily)

Service suspended."
28/07/20,Strathclyde Partnership for Transport,J M B TRAVEL LTD,Yes,Standard National,14,Temporary variation  - COVID-19 - Revised timetable
21/10/08,Highland Council,BLUEBIRD BUSES LIMITED,Yes,Standard International,1,"Monday to Saturday, nor service on 01 & 02 Jan, Mayday Public Hol, 25 & 26 Dec."
10/02/03,The City of Edinburgh Council,MCGILLâS SCOTLAND EAST LIMITED,No,Standard National,0,Monday to friday.
19/06/07,Scottish Borders Council,MIDLAND BLUEBIRD LTD,No,Standard National,2,"Schooldays only.
"
20/07/22,Strathclyde Partnership for Transport,WESTERN BUSES LIMITED,No,Standard International,28,Service variations due to emergency situation. Easter Monday and May Day to operate normal Monday service level.
19/02/14,Scottish Borders Council,JOHN MACEWAN,No,Standard National,3,Sunday
27/08/13,Aberdeen City Council,FIRST ABERDEEN LTD,Yes,Standard National,0,Monday to Friday
20/04/09,Dumfries & Galloway Council,WESTERN BUSES LIMITED,No,Standard International,4,"Daytime local town service, Monday to Saturday daytime 2-hourly"
26/06/23,Angus Council,WISHARTS (FRIOCKHEIM) LTD,Yes,Standard National,1,Monday to Friday
13/11/14,Falkirk District Council,MIDLAND BLUEBIRD LTD,Yes,Standard National,10,
04/04/14,Dumfries & Galloway Council,WESTERN BUSES LIMITED,Yes,Standard International,18,Service allocated to new NapTan 680000083333 from 680000082222 in Moffat High Street.
06/12/07,Aberdeen City Council,BLUEBIRD BUSES LIMITED,No,Standard International,13,"This service will not operate on 25 Dec & 1 Jan
Sunday Service
26 Dec & 2 Jan
Curtailed service 
24,31 Dec 
and similar dates in subsequent years
"
25/06/18,Angus Council,FISHERS TOURS LIMITED,Yes,Standard International,0,"Thursday's - Fortnightly

Non operational period from the first Monday in November to Last Monday in March."
27/03/20,Perth & Kinross Council,J DOCHERTY & SONS LTD,Yes,Standard National,2,"Monday, Tuesday, Thursday, Friday and Saturday

No service Wednesday or Sunday

Temporary suspension due to Covid 19"
13/09/12,East Ayrshire Council,WESTERN BUSES LIMITED,No,Standard International,16,"Trips added Monday - Saturday between Cumnock and Sanquhar : 0620 & 0625 ex Cumnock Mon - Sat, 2218 ex Sanquhar Mon - Thu and 2318 ex Sanquhar Fri & Sat. 0825 ex Dumfries to Cumnock changed to 0820. 0645 ex Cumnock to Dumfries - 5 mins less running time."
17/08/21,Scottish Borders Council,PETER HOGG OF JEDBURGH LTD,Yes,Standard National,4,School days only
27/03/20,Moray Council,BLUEBIRD BUSES LIMITED,Yes,Standard International,5,"Mon - Sun hourly service

Temporary variation- Covid 19"
02/03/09,Fife Council,FIFE SCOTTISH OMNIBUSES LTD,No,Standard International,9,"No service: 25/26 Dec & 1/2 Jan. 
Saturday service: 27/30/31 Dec & 3 jan."
24/10/22,Fife Council,FIFE SCOTTISH OMNIBUSES LTD,Yes,Standard International,6,Cancelled
07/05/13,Aberdeen City Council,FIRST ABERDEEN LTD,No,Standard National,1,Saturday & Sunday Only
30/07/20,Aberdeenshire Council,BLUEBIRD BUSES LIMITED,Yes,Standard International,18,Infrequent service Monday to Sunday
27/06/05,Aberdeenshire Council,MARGARET LOWE  & STEVEN J LOWE,Yes,Standard National,1,
08/04/22,Fife Council,SCOTTISH CITYLINK COACHES LTD,No,Standard National,2,Daily
10/06/05,Aberdeen City Council,WATERMILL COACHES LIMITED,No,Standard National,2,
08/03/06,Aberdeenshire Council,DEVERON COACHES LIMITED,Yes,Standard National,2,"Wednesday only
Once daily"
29/07/20,Strathclyde Partnership for Transport,MCGILL'S BUS SERVICE LTD,Yes,Standard National,6,"Service varied due to Covid 19
(Service prior was: Monday to Saturday
Revised route and Timetable
Revised route)
SERVICE REVERTING BACK TO REGISTRATION IN OPERATION PRIOR TO 12.04.2020"
15/05/09,North Ayrshire Council,WESTERN BUSES LIMITED,No,Standard International,2,Monday to Saturday hourly daytime service.
19/11/03,The City of Edinburgh Council,MCGILLâS SCOTLAND EAST LIMITED,Yes,Standard National,7,"Daily.  This service will not operate 25, 26 December, 1, 2 January, 3, 4 January, when 1 January is a Saturday or Sunday, Sunday service will operate, Good Friday, Easter Monday, May Day Monday Holiday, or any national or public holiday"
27/07/20,Perth & Kinross Council,FIFE SCOTTISH OMNIBUSES LTD,Yes,Standard International,11,"Full service resumed 

(Service prior was:Revised timetable)"
23/08/11,Scottish Borders Council,ERIC ROBERTSON & DALE M ROBERTSON,Yes,Standard National,0,School Days Only
28/10/11,Stirling Council,MIDLAND BLUEBIRD LTD,No,Standard National,16,"Monday to Saturday.  Mainly 20 minute frequency.  Sunday.  Hourly frequency.  This service will not operate 25, 26 December, 1, 2 January.
Saturday service: 27 & 30 December.
Curtailed service: 24/31 December.
Temporary route in place until Stevenson B"
10/03/17,Strathclyde Partnership for Transport,FIRST GLASGOW (NO1) LTD,No,Standard National,1,Daily
27/03/20,Fife Council,FIFE SCOTTISH OMNIBUSES LTD,Yes,Standard International,4,"Service suspended due to COVID 19

(Service prior was:Revised route: afternoon journey to operate via Thornton.)"
27/03/20,Perth & Kinross Council,FIFE SCOTTISH OMNIBUSES LTD,Yes,Standard International,6,"Temporary variation of service in response to COVID-19 outbreak
TEMPORARY VARIATION - COVID 19 - SERVICE SUSPENDED"
19/03/20,East Lothian Council,EAST COAST BUSES LIMITED,Yes,Standard National,8,"Daily
Temporary variation - Covid 19"
24/06/08,Perth & Kinross Council,J DOCHERTY & SONS LTD,No,Standard National,0,Community School of Auchterader Schooldays only...
20/04/20,Dumfries & Galloway Council,HARRIET JANET HOUSTON & WILLIAM JOHN HOUSTON,Yes,Standard National,2,"Service varied due to Covid 19 

(Service prior was:Monday to Saturday)"
26/03/20,Strathclyde Partnership for Transport,MCGILL'S BUS SERVICE LTD,Yes,Standard National,6,"Daily
TEMPORARY VARIATION - COVID 19
TEMPORARY VARIATION - COVID 19 - reduced service Mon-Sat"
15/04/11,Fife Council,FIFE SCOTTISH OMNIBUSES LTD,No,Standard International,0,New service replacing service X54 between Edinburgh and Lochgelly
05/11/20,Strathclyde Partnership for Transport,WESTERN BUSES LIMITED,Yes,Standard International,13,Service revision due to emergency situation. 26th Dec and 2nd Jan timetables removed.
10/04/20,The City of Edinburgh Council,LOTHIAN BUSES LIMITED,Yes,Standard International,20,TEMPORARY VARIATION - COVID 19- revised timetable
12/12/22,Strathclyde Partnership for Transport,MCGILL'S BUS SERVICE LTD,No,Standard National,27,Daily.
28/09/21,South Ayrshire Council,WESTERN BUSES LIMITED,Yes,Standard International,21,Easter Monday and May Day holidays service levels increased
09/06/22,Aberdeenshire Council,BLUEBIRD BUSES LIMITED,Yes,Standard International,16,"Mon - Sun, regular timetable"
11/11/11,Strathclyde Partnership for Transport,FIRST GLASGOW (NO1) LTD,Yes,Standard National,0,This service will operate on 1 January 2012 only
23/05/03,The City of Edinburgh Council,LOTHIAN BUSES LIMITED,No,Standard International,3,"No service: 1 Jan & 25/26Dec. Sunday Service: 2 Jan. Saturday: Good friday, Easter Monday, Ed. Pub. Hols., weekdays 27-31 Dec inc. & any additional day declared to be a national holiday. & other circumstances (on file)"
,,ALLANDER COACHES LTD,No,Standard International,1,
03/08/05,Argyll & Bute Council,CRAIG OF CAMPBELTOWN LTD,Yes,Standard International,6,
20/11/14,Scottish Borders Council,MIDLAND BLUEBIRD LTD,Yes,Standard National,5,"Revised Timetable:-Outward 07:59-17:15, Inward 07:45-16:10. Revised intermediate running times. Other: Service No 398 No longer used.  No change t roads usd as other services cover the same section of route in a different order"
18/04/19,Fife Council,A1 MINIBUS & COACH SERVICES LTD,No,Standard National,1,Waid Academy School Days only
27/03/03,Dumfries & Galloway Council,WESTERN BUSES LIMITED,Yes,Standard International,2,
20/05/23,Perth & Kinross Council,FIFE SCOTTISH OMNIBUSES LTD,No,Standard International,0,New Service
15/10/13,West Lothian Council,MCGILLâS SCOTLAND EAST LIMITED,Yes,Standard National,5,Daily
13/11/14,Falkirk District Council,MIDLAND BLUEBIRD LTD,No,Standard National,11,Dollar Academy Schooldays only
17/05/21,Argyll & Bute Council,CRAIG OF CAMPBELTOWN LTD,Yes,Standard International,11,Sundays only
12/05/17,South Ayrshire Council,WESTERN BUSES LIMITED,Yes,Standard International,11,Monday - Saturday - 0718 trip ex Ardrossan to Ayr moved to 0703 due to 0638 trip from Largs on PM8 375 being moved earlier.
23/11/22,Highland Council,HIGHLAND COUNTRY BUSES LTD,No,Standard National,1,Half hourly service Monday to Saturday and hourly service Sunday
19/02/18,East Ayrshire Council,WESTERN BUSES LIMITED,No,Standard International,14,Easter Monday and May Day altered to no service.
16/06/08,Falkirk District Council,E & M HORSBURGH LTD,No,Standard National,0,
29/09/09,Strathclyde Partnership for Transport,WESTERN BUSES LIMITED,Yes,Standard International,7,Monday - Saturday 20 min daytime & Sunday hourly daytime service
29/08/17,Midlothian Council,BORDERS BUSES LTD,Yes,Standard National,5,Daily
24/12/02,Cumbria County Council ,MIDLAND BLUEBIRD LTD,Yes,Standard National,3,Daily.  Hourly frequency or less
08/01/10,East Ayrshire Council,WESTERN BUSES LIMITED,Yes,Standard International,1,To replace part of Monday to Saturday & Sunday service cancelled with PM0000008/311
21/04/20,Cumbria County Council ,TELFORD'S COACHES LTD,Yes,Standard International,10,"Service varied due to Covid 19

(Service prior was: Monday to Saturday.
No service: 25/26 December & 1/2 January.
Curtailed service: 27-31 December.)"
22/06/09,Fife Council,FIFE SCOTTISH OMNIBUSES LTD,No,Standard International,5,Revised timetable
31/03/05,Perth & Kinross Council,SCOTTISH CITYLINK COACHES LTD,No,Standard National,7,
26/06/13,West Lothian Council,MCGILLâS SCOTLAND EAST LIMITED,Yes,Standard National,6,Daily
03/07/19,Angus Council,J P MINICOACHES LTD,No,Standard National,2,School days only
,West Lothian Council,E & M HORSBURGH LTD,No,Standard National,1,"Monday to Friday, school days only

One return trip daily"
01/04/21,Aberdeenshire Council,BLUEBIRD BUSES LIMITED,Yes,Standard International,4,Circular Town Service. Mon - Sat
14/09/07,Strathclyde Partnership for Transport,COLCHRI LTD,No,Standard National,2,"Monday to Saturday

30 mins



"
16/04/20,Highland Council,HIGHLAND COUNTRY BUSES LTD,Yes,Standard National,11,Temporary variation to service (COVID- 19 response)
29/07/21,Highland Council,HIGHLAND COUNTRY BUSES LTD,Yes,Standard National,1,One return trip on Mondays
